"","W1GrssyrMP","W1GrssyrHH","W1wrk1aMP","W1condur5MP","W1hea2MP","W1NoldBroHS","W1InCarHH","W1hous12HH","W1usevcHH","W1hiqualmum","W1hiqualdad","W1wrkfulldad","W1wrkfullmum","W1empsmum","W1empsdad","W1ch0_2HH","W1ch3_11HH","W1ch12_15HH","W1ch16_17HH","IndSchool","W1marstatmum","W1depkids","W1famtyp2","W1nssecfam","W1ethgrpYP","W1heposs9YP","W1hwndayYP","W1truantYP","W1alceverYP","W1bulrc","W1disabYP","W1yschat1","W2ghq12scr","W2disc1YP","W2depressYP","W4AlcFreqYP","W4CannTryYP","W4NamesYP","W4RacismYP","W4empsYP","W4schatYP","W4Childck1YP","W5JobYP","W5EducYP","W5Apprent1YP","W6JobYP","W6UnivYP","W6EducYP","W6Apprent1YP","W6acqno","W6gcse","W6als","W6OwnchiDV","W6Childliv","W6DebtattYP","W6NEETAct","W8DDEGP","W8DGHQSC","W8DMARSTAT","W8TENURE","W8DACTIVITY","W8QMAFI","W8DINCW"
"537",19200,NA,"1","1","1","1","1","5","1","20",NA,"1","1","1","1","0","0","2","1","0","2","3","0","2","1","1","2","2","1","2","2",40,1,"2","1","3","2","2","2","1",15,NA,"1","2","2","1","2","2","2","9","4","4","2",NA,10,NA,NA,0,"3","4","2","2",386.12
"538",19200,19200,"1","1","2","0","1","5","1","15",NA,NA,"1","1",NA,"0","0","1","0","0","5","1","1","3","1","2","3","2","1","2","3",42,0,"2","1","2","2","2","2","5",16,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,10,NA,NA,2,"1","7","1","2",321.62
"539",19200,38294.4,"1","1","2","1","1","2","1","15","8","1","1","1","1","0","1","1","0","0","2","2","0","5","1","1","2","2","1","2","3",33,0,"2","1","2","2","2","2","5",17,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,12,NA,NA,0,"1","2","1","2",394.21
"540",19200,49200,"1","1","2","1","1","2","1","2","13","1","1","1","1","0","1","1","0","0","3","2","0","2","1","1","2","2","1","1","3",37,4,"2","3","2","2","1","2","5",13,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,17,NA,NA,0,"1","7","1","2",374.14
"541",19200,19200,"1","1","2","1","1","2","1","5",NA,NA,"1","1",NA,"0","0","2","1","0","5","3","1","2","1","1","3","2","2","2","3",39,1,"2","1","2","2","1","2","5",16,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,10,NA,"0",0,"1","7","1","2",327.97
"542",19200,21500,"2","1","2","0","1","1","1","5","2","1","2","2","1","0","0","1","1","0","2","2","0","1","1","2","3","2","1","2","3",41,0,"2","1","4","1","2","2","5",18,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,16,NA,"1",4,"1","2","1","1",356.83
"543",19200,38273.6,"1","1","2","1","1","2","1","15","9","1","1","1","1","0","1","1","0","0","2","2","0","5","1","1","5","2","2","2","3",43,0,"2","1","4","2","2","2","5",16,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,14,NA,"1",6,"1","7","1","2",351.79
"544",19200,39902.24,"1","1","1","1","1","2","1","6","2","1","1","1","1","0","0","2","0","0","2","2","0","5","1","2","2","2","2","2","3",37,3,"2","3","2","2","2","2","5",9,NA,"1","1","2","1","2","1","2","3","4","1","2",NA,18,NA,"1",10,"1","2","1","2",433.02
"545",19200,55200,"1","1","2","0","1","2","1","2","2","1","1","1","1","0","0","1","0","0","2","1","0","2","3","1","5","2","2","2","3",40,0,"2","2","3","2","2","1","5",14,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,13,NA,"1",0,"1","4","1","2",288.97
"546",19152,194152,"1","1","2","0","1","1","1","5","2","1","1","1","1","0","0","1","0","1","2","1","0","2","1","1","5","2","1","1","3",30,1,"1","3","2","1","2","2","5",17,NA,"2","2","2","2","2","2","2","9","4","4","2",NA,12,NA,NA,2,"1","5","1","1",285.6
"547",19110,19110,"1","1","2","1","1","1","1","11",NA,NA,"1","1",NA,"0","0","2","0","0","5","2","1","2","1","2","2","2","1","2","3",25,2,"2","2","2","1","2","2","5",1,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,10,NA,NA,0,"1","7","1","1",351.11
"548",19110,19110,"1","2","2","2","1","2","1","20","20","1","3","6","1","0","1","2","0","0","2","3","0","6","4","2","3","2","2","2","3",32,0,"2","2",NA,"2","2","2","5",16,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,12,NA,"1",0,"1","5","1","1",231.74
"549",19024,69199,"2","1","2","0","1","2","1","1","2","1","2","2","1","0","0","1","1","0","2","2","0","2","1","1","3","2","2","1","3",34,0,"2","1","4","2","2","2","5",9,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,14,NA,"1",4,"1","4","1","2",404.5
"550",19000,47500,"1","1","2","0","1","2","1","3","4","1","1","1","1","0","0","1","0","0","2","1","0","2","1","2","3","2","1","1","3",39,0,"2","1","2","2","2","2","5",13,NA,"2","2","2","2","1",NA,NA,"1","4","4","2",NA,9,NA,NA,1,"1","4","1","2",336.19
"551",19000,NA,"1","1","2","0","1","2","1","6","15","1","1","1","1","0","0","1","0","0","2","1","0","2","1","3","4","2","1","1","3",37,1,"2","1","2","2","1","2","3",5,NA,"1","2","1","1","2","1","1","9","4","4","2",NA,8,NA,"0",0,"2","2","1","3",260.45
"552",19000,NA,"1","1","2","2","1","2","1","1","2","1","1","1","1","0","1","2","0","0","2","3","0","1","1","1","3","2","1","1","3",37,0,"2","2","3","2","2","2","5",13,NA,"2","1","2","2","2","1","2","3","4","1","2",NA,14,NA,"0",12,"1","5","10","5",409.56
"553",19000,19000,"1","1","2","1","1","4","1","1",NA,NA,"1","1",NA,"0","0","2","0","0","4","2","1","2","7","1","3","2","2","1","3",47,2,"2","1",NA,"2","2","2","5",16,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,14,NA,"1",3,"1","1","6","2",267.82
"554",18866.4,42289.8,"1","1","2","0","1","2","1","15","13","1","1","1","1","0","0","1","1","0","2","2","0","7","1","2","2","2","2","1","3",39,1,"2","3","4","2","2","2","5",13,NA,"1","1","2","1","2","1","2","9","4","4","2",NA,14,NA,"0",0,"1","7","1","2",308.87
"555",18740.8,24902.8,"1","1","2","1","1","2","1","6","2","1","2","2","1","0","0","2","0","0","2","2","0","7","1","1","1","1","1","1","3",35,8,"2","3","2","1","1","2","5",6,NA,"2","2","2","1","2","2","2","9","4","4","2",NA,20,NA,NA,2,"1","2","1","2",322.15
"556",18720,32760,"1","1","1","0","1","2","1","15","2","1","2","2","1","0","0","2","0","0","2","2","0","5","3","1","5","2","2","2","3",43,1,"2","2",NA,"2","2","2","5",15,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,16,NA,NA,0,"1","5","1","1",300.11
"557",18720,18720,"1","1","2","1","1","2","1","6",NA,NA,"1","1",NA,"0","0","1","1","0","5","2","1","2","1","1","3","2","1","1","3",38,0,"2","1",NA,"2","1","2","5",17,NA,"1","2","2","1","2","2","2","9","4","4","2",NA,10,NA,"0",2,"1","4","6","4",349.46
"558",18699.2,41699.2,"1","1","2","1","1","2","1","6","16","1","1","1","1","0","1","1","0","0","2","2","0","2","1","1","2","1","1","2","3",37,1,"2","2","2","1","1","2","5",16,NA,"2","1","2","1","2","2","2","9","4","4","2",NA,14,NA,"0",6,"1","4","1","1",407.56
"559",18660,18660,"1","1","2","1","1","2","1","9",NA,NA,"1","1",NA,"0","0","1","0","0","4","1","1","2","7","1","5","2","1","1","3",36,0,"2","1","6","2","2","2","5",14,NA,"2","1","2","1","1",NA,NA,"1","4","4","2",NA,10,NA,"1",5,"1","5","1","1",269.62
"560",18585.84,35517.04,"1","1","2","1","1","2","1","2","2","1","1","1","1","0","0","3","0","0","2","3","0","2","4","1","5","2","2","2","3",40,0,"2","1",NA,"2","2","2","5",16,NA,"2","1","2","1","2","1","2","3","4","1","2",NA,18,NA,"1",1,"1","2","6","3",309.75
"561",18564,18564,"1","1","2","0","1","2","1","20","20","1","3","6","1","0","0","1","0","0","2","1","0","5","3","1","2","2","2","2","3",31,0,"1","1",NA,"2","2","2","5",13,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,12,NA,NA,0,"1","1","3","2",256.8
"562",18564,66564,"2","1","2","1","1","2","1","1","2","1","2","2","1","0","0","2","0","0","2","2","0","1","1","1","3","2","2","2","2",40,0,"2","1","2","2","2","2","5",18,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,15,NA,"1",0,"1","4","6","2",366.3
"563",18535.92,18535.92,"1","1","2","2","1","2","1","20","9","1","3","6","1","0","2","1","0","0","2","3","0","5","4","2","5","2","2","2","3",40,0,"2","1",NA,"2","2","2","5",17,NA,"2","1","2","2","2","1","2","3","4","1","2",NA,18,NA,NA,0,"1","2","1","2",327.3
"564",18500,18500,"1","1","2","0","1","4","1","4",NA,NA,"1","1",NA,"0","0","1","0","0","1","1","1","5","2","3","0","2","2","1","3",37,2,"2","2","6","1","1","2","4",9,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,10,NA,"0",0,"1","4","3","3",198.46
"565",18500,NA,"1","1","1","0","1","2","1","7",NA,"1","1","1","1","0","0","2","0","0","2","2","0","2","8","1","5","2","2","2","2",41,0,"2","1",NA,"2","2","2","5",16,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,16,NA,"1",3,"1","2","11","2",316.09
"566",18480,18480,"1","1","2","0","1","2","1","7",NA,NA,"1","1",NA,"0","0","1","0","0","5","1","1","3","1","2","3","2","2","1","3",31,0,"2","1","2","1","2","2","1",18,NA,"1","2","2","1","2","2","2","9","4","4","2",NA,13,NA,"0",2,"1","3","1","2",346.17
"567",18480,NA,"2","1","2","1","1","2","1","2","2","1","2","2","1","0","0","2","0","1","2","2","0","1","1","2","5","2","1","1","3",46,0,"2","1","2","2","2","1","5",19,NA,"2","1","2","2","2","1","2","3","4","1","2",NA,15,NA,"1",1,"2","1","1","1",419.35
"568",18431.92,44831.92,"1","1","2","0","1","2","1","15","4","1","1","1","1","0","0","1","1","0","2","2","0","2","1","1","4","2","1","1","3",38,0,"2","1","3","2","2","2","5",15,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,14,NA,NA,0,"1","4","1","3",355.81
"569",18376.8,47376.8,"1","1","2","2","1","2","1","13","4","1","1","1","1","0","2","1","0","0","1","3","0","2","1","1","1","2","2","2","3",38,1,"2","3","3","2","2","2","5",15,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,12,NA,"0",2,"1","7","1","2",382.82
"570",18361.2,NA,"2","1","2","0","1","2","1","2",NA,"1","2","2","1","0","0","1","0","0","3","1","0","1","1","1","4","2","2","1","3",40,0,"2","1","2","2","2","2","5",16,NA,"2","1","2","1","2","2","2","9","4","4","2",NA,12,NA,"0",6,"1","1","3","1",385.53
"571",18256,18256,"1","1","2","2","1","2","1","4",NA,NA,"1","1",NA,"0","1","2","0","0","4","3","1","2","1","3","1","1","2","1","2",34,0,"2","2","5","2","2","2","5",15,NA,"1","1","2","2","2","2","2","9","4","4","2",NA,18,NA,"0",1,"1","4","1","3",306.98
"572",18252,18252,"1","1","1","1","1","4","1","15","13","1","3","6","1","0","1","1","0","0","2","2","0","6","1","3","1","2","1","2","3",39,0,"2","1","3","1","2","2","5",15,NA,"1","2","2","1","2","2","2","9","4","4","2",NA,14,NA,NA,0,"1","4","1","2",347.6
"573",18252,24252,"1","1","2","2","1","4","1","8","19","1","2","2","1","0","2","1","0","0","2","3","0","6","7","2","0","2","2","1","3",40,0,"2","2",NA,"2","2","2","5",16,NA,"1","1","2","2","2","1","2","9","4","4","2",NA,17,NA,"1",3,"1","7","1","2",178.79
"574",18200,25937.6,"1","1","2","1","1","2","1","2","13","1","2","2","1","0","1","1","0","0","2","2","0","5","1","1","3","2","1","2","3",39,0,"2","1","2","2","2","2","2",17,NA,"1","1","1","1","2","2","1","8","4","3","2",NA,7,NA,NA,0,"1","4","1","1",360.51
"575",18200,30160,"3","1","2","0","1","2","1","9","9","1","2","2","1","0","0","1","1","0","2","2","0","4","1","2","2","2","1","2","3",32,0,"2","1","3","1","1","2","2",11,NA,"1","2","2","1","1",NA,NA,"9","4","4","2",NA,6,NA,NA,1,"1","4","1","3",378.58
"576",18200,49400,"1","1","2","0","1","2","1","15","9","1","1","1","1","0","0","1","1","0","2","2","0","1","1","3","2","2","1","1","2",27,6,"2","3","2","2","1","2","5",11,NA,"1","2","2","1","2","2","2","9","4","4","2",NA,17,NA,"0",3,"1","4","1","1",432.69
"577",18200,18200,"1","1","2","1","1","2","1","4",NA,NA,"1","1",NA,"0","1","1","0","0","4","2","1","2","1","2","3","2","1","1","3",36,0,"2","2","3","2","2","2","5",17,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,18,NA,"0",4,"1","4","1","3",345.43
"578",18200,20540,"1","1","2","0","1","2","1","3","13","1","1","1","1","0","0","1","0","0","2","1","0","3","1","2","3","2","1","1","3",43,1,"2","2","2","2","2","2","5",11,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,14,NA,"1",2,"2","2","1","1",364.14
"579",18105,207105,"1","1","2","2","1","2","1","2","9","1","1","1","1","0","2","1","0","0","2","3","0","2","1","4","2","2","2","2","3",43,0,"2","1","3","2","2","2","5",17,NA,"1","1","1","1","2","1","1","9","4","4","2",NA,7,NA,"1",2,"1","2","1","1",264.41
"580",18085.6,40296.88,"1","1","2","2","1","2","1","13","13","1","1","1","1","0","2","2","0","0","2","4","0","2","8","1","4","2","2","2","3",38,3,"2","3","6","2","2","2","5",19,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,12,NA,"1",3,"6","4","1","2",339.99
"581",18060,36819,"1","1","1","1","1","2","1","2","13","1","1","1","1","0","1","1","1","0","2","3","0","2","6","1","3","2","2","1","3",23,9,"1","4",NA,"2","1","1","5",12,NA,"2","1","2","1","2","1","2","9","4","4","2",NA,10,NA,"1",9,"1","4","5","3",311.65
"582",18000,18000,"1","1","2","0","1","2","1","7",NA,NA,"1","1",NA,"0","0","1","1","0","5","1","1","2","1","1","4","2","1","2","3",35,5,"2","3","4","2","2","2","5",15,NA,"1","1","1","1","2","2","2","9","4","4","1","1",12,NA,NA,0,"2","3","2","1",285.21
"583",18000,32430,"1","1","2","1","1","2","1","7","20","1","1","1","1","0","1","1","0","0","2","2","0","7","1","4","2","2","2","2","3",44,0,"2","1","5","2","2","2","5",19,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,15,NA,NA,0,"1","4","1","1",259.08
"584",18000,NA,"3","1","2","0","1","2","1","5","13","1","2","2","1","0","0","1","1","0","2","2","0","2","1","3","3","2","2","2","3",31,2,"2","2","2","2","2","2","5",15,NA,"1","1","2","2","2","2","2","9","4","4","2",NA,16,NA,NA,0,"1","4","1","2",461.82
"585",18000,54000,"2","1","2","1","1","2","1","2","4","1","2","2","1","0","0","2","0","0","2","2","0","5","1","1","1","2","2","1","3",33,0,"2","2","2","1","2","2","5",13,NA,"2","2","2","2","2","1","2","9","4","4","2",NA,8,NA,"0",1,"1","2","1","1",364.76
"586",18000,NA,"1","1","2","0","1","2","1","4","16","1","1","1","1","0","0","2","0","0","2","2","0","2","1","2","1","2","1","2","3",30,0,"2","1","3","2","2","2","5",15,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,8,NA,"0",0,"1","2","1","1",365.45
"587",18000,28010,"1","1","2","0","1","4","1","20","2","1","1","1","1","0","0","1","1","0","2","2","0","2","7","2","2","2","2","1","3",36,0,"2","1",NA,"2","2","2","5",17,NA,"2","1","2","1","2","1","2","9","4","4","2",NA,11,NA,"0",1,"1","4","1","1",305.44
"588",18000,39112,"1","1","2","0","1","2","1","8","20","1","1","1","1","0","0","1","0","0","2","1","0","7","1","3","4","1","1","1","3",31,7,"2","4","4","1","1","2","3",10,NA,"2","2","2","2","2","2","2","6","2","4","2",NA,13,NA,"0",1,"1","4","13","2",352.47
"589",18000,NA,"1","1","2","0","1","2","1","14","20","1","1","1","1","0","0","1","0","0","2","1","0","5","6","2","2","2","2","2","3",37,8,"2","3","2","1","2","2","4",14,NA,"2","2","2","2","2","2","2","9","4","4","1","1",10,"1","0",2,"1","4","2","3",261.97
"590",18000,51000,"2","1","2","0","1","2","1","2","2","1","2","2","1","0","0","2","0","0","2","2","0","2","2","1","3","2","2","2","3",41,2,"2","1","2","2","2","2","5",13,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,18,NA,"1",1,"1","4","1","1",251.83
"591",18000,96000,"1","1","2","0","1","2","1","7","2","1","1","1","1","0","0","1","1","0","2","2","0","1","3","1","5","2","2","2","3",41,0,"1","1","3","2","2","2","5",18,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,17,NA,"1",0,"1","5","3","1",285.61
"592",18000,18000,"1","1","2","0","1","2","2","2",NA,NA,"1","1",NA,"0","0","1","1","0","1","2","1","3","1","1","5","2","1","2","3",22,5,"2","2","2","1","2","2","5",7,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,13,NA,"1",12,"1","5","4","2",333.06
"593",18000,67992,"1","1","2","0","1","2","1","9","15","1","1","1","1","0","0","1","0","0","2","1","0","2","1","1","4","2","1","1","3",35,3,"2","2","5","1","2","2","5",13,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,19,NA,"1",3,"1","4","1","2",428.69
"594",18000,NA,"3","1","2","0","1","2","1","2","7","1","1","1","1","0","0","1","0","0","2","1","0","4","1","2","4","2","1","1","3",37,7,"2","3","5","2","1","2","5",16,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,12,NA,"1",0,"2","4","1","2",404.62
"595",18000,18000,"1","1","1","1","1","5","1","4",NA,NA,"1","1",NA,"0","0","3","0","0","5","3","1","2","1","2","3","2","1","1","3",36,1,"2","1","2","2","2","2","5",18,NA,"1","1","2","2","2","2","2","9","4","4","2",NA,15,NA,"1",0,"1","5","14","3",354.38
"596",18000,18000,"1","1","2","0","1","2","1","15",NA,NA,"1","1",NA,"0","0","1","0","0","5","1","1","2","1","1","3","2","2","1","3",40,3,"2","2","4","2","2","2","5",18,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,15,NA,"1",10,"1","2","1","3",348.38
"597",18000,NA,"1","1","2","1","1","2","1","2","20","1","1","1","1","0","1","1","1","0","2","3","0","2","1","2","3","2","1","1","1",39,2,"2","3","3","2","2","2","5",17,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,17,NA,"1",5,"1","5","1","4",308.11
"598",17992,17992,"1","2","2","0","1","5","2","15",NA,NA,"1","1",NA,"0","0","1","1","0","5","2","1","2","2","3","3","1","1","1","3",34,5,"2","4","2","1","1","2","5",10,NA,"1","1","2","2","2","2","2","6","2","4","1","1",11,NA,NA,9,"1","5","1","2",239.53
"599",17803.76,17803.76,"1","1","2","1","1","6","1","17",NA,NA,"1","1",NA,"0","1","1","1","0","4","3","1","2","7","2","3","2","2","1","3",36,0,"1","1",NA,"2","2","1","5",18,NA,"2","1","2","2","1",NA,NA,"9","4","4","2",NA,13,NA,"1",0,"1","4","1","2",242.4
"600",17800,17800,"1","1","2","1","1","1","1","3",NA,NA,"1","1",NA,"0","0","2","0","0","5","2","1","2","1","1","4","2","1","1","3",36,3,"2","3","6","2","2","2","5",11,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,16,NA,"1",9,"1","5","6","2",397.13
"601",17784,35119.24,"1","1","2","1","1","2","1","6","14","1","1","1","1","0","1","1","0","0","3","2","0","2","6","2","3","2","2","2","3",36,2,"1","3",NA,"2","2","2","5",17,NA,"1","2","2","2","2","1","2","9","4","4","1","1",8,NA,"0",0,"1","4","1","3",261.6
"602",17550,67550,"2","1","2","2","1","2","1","1","2","1","2","2","1","0","1","2","0","0","2","3","0","1","1","1","4","1","1","1","3",37,8,"2","4","3","2","2","2","5",17,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,14,NA,NA,2,"1","7","1","1",412.59
"603",17472,30672,"1","1","2","1","1","2","1","14","14","1","1","1","1","0","1","1","0","0","2","2","0","2","1","1","3","2","2","2","3",40,5,"2","4",NA,"2","1","2","5",16,NA,"2","2","2","2","2","2","1","9","4","4","2",NA,11,NA,"0",4,"1","3","1","1",337.59
"604",17335.24,21235.24,"1","1","2","0","1","2","1","15","7","1","1","1","1","0","0","1","1","0","2","2","0","2","1","2","2","2","1","1","2",37,0,"2","2","3","1","1","2","5",15,NA,"2","1","2","2","2","1","2","9","4","4","2",NA,11,NA,NA,0,"1","4","1","3",340.97
"605",17316,NA,"1","1","2","1","1","2","1","14","20","2","1","1","2","0","0","2","0","0","2","2","0","2","1","2","2","2","2","1","3",41,0,"2","2","5","2","2","2","5",13,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,15,NA,NA,2,"1","2","1","1",423.8
"606",17316,22932,"1","1","2","0","1","1","1","20","4","1","2","2","1","0","0","1","0","0","2","1","0","3","3","2","5","2","2","2","3",38,0,"2","2",NA,"2","2","2","5",12,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,13,NA,NA,0,"2","7","1","2",299.49
"607",17316,17316,"1","1","2","1","1","2","1","7",NA,NA,"1","1",NA,"0","0","2","0","0","5","2","0","3","1","1","2","2","1","2","3",34,2,"2","3","3","2","2","2","5",12,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,9,NA,NA,6,"1","4","1","2",358.72
"608",17290,34190,"1","2","2","0","1","1","1","2","13","1","1","1","1","0","0","1","1","0","2","2","0","2","1","2","5","2","1","1","3",36,9,"2","4","5","2","2","2","5",16,NA,"1","1","2","1","2","2","2","9","4","4","1","1",11,NA,NA,0,"1","4","2","2",390.63
"609",17290,38290,"2","1","2","1","1","2","1","2","13","1","2","2","1","0","0","2","0","0","2","2","0","1","1","2","3","2","2","2","3",37,1,"2","1","3","2","2","2","5",16,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,14,NA,"1",0,"1","4","1","3",378.32
"610",17280,17280,"1","1","1","0","1","2","1","2",NA,NA,"1","1",NA,"0","0","1","0","0","1","1","1","2","1","1","2","2","1","1","3",28,2,"2","3","6","2","1","2","5",9,NA,"2","1","2","2","2","2","2","9","4","4","2",NA,8,NA,NA,8,"1","2","5","5",190.38
"611",17251,17251,"1","1","2","1","1","2","1","9",NA,NA,"1","1",NA,"0","0","2","0","0","5","2","1","3","1","2","2","2","2","1","2",37,5,"2","4","2","2","2","2","5",17,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,15,NA,"1",0,"1","2","1","1",317.51
"612",17238,17238,"1","1","2","0","1","1","1","20","15","1","3","6","1","0","0","1","1","0","2","2","0","3","1","2","3","2","2","2","3",46,0,"2","1","5","2","2","2","5",14,NA,"1","2","2","1","2","2","1","9","4","4","2",NA,5,NA,NA,0,"1","4","5","2",329.64
"613",17186.4,50786.4,"2","1","2","4","1","2","1","15","15","1","2","2","1","0","2","1","0","0","3","3","0","1","1","4","2","2","1","1","1",30,2,"2","1","6","2","1","2","5",1,"1","2","1","2","2","2","2","2","9","4","4","1","1",8,NA,NA,1,"1","4","13","4",246.45
"614",17160,40248,"1","1","2","0","1","2","1","15","4","1","1","1","1","0","0","2","0","0","2","2","0","2","1","1","2","2","2","2","3",40,0,"2","1","2","2","2","2","5",13,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,10,NA,NA,2,"1","7","1","2",318.7
"615",17160,59020,"2","1","2","1","1","2","1","15","16","1","2","2","1","0","1","1","0","0","2","2","0","2","1","1","3","2","1","2","3",39,2,"2","1","2","2","2","2","5",11,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,17,NA,"1",3,"1","4","1","1",384.17
"616",17160,17160,"1","1","2","1","1","2","1","7",NA,NA,"1","1",NA,"0","1","1","0","0","5","2","1","2","1","1","4","2","1","1","2",35,4,"2","3","3","2","2","2","5",13,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,8,NA,"1",1,"6","4","5","2",244.59
"617",17112,17112,"2","1","2","1","1","2","1","15","2","3","2","2","8","0","1","1","1","0","2","3","0","5","7","2","4","2","2","2","3",44,2,"2","1","6","2","2","2","5",20,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,11,NA,"1",2,"1","7","1","2",308.85
"618",17004,40404,"1","1","1","1","1","2","1","3","9","1","1","1","1","0","1","1","0","0","2","2","0","2","1","1","5","2","1","1","3",43,0,"2","2","3","1","2","2","5",18,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,9,NA,NA,2,"1","7","6","3",426.63
"619",17004,47226,"1","1","1","1","1","2","1","6","8","1","1","1","1","0","1","1","0","0","2","2","0","2","1","1","2","2","2","1","1",34,3,"2","2","5","2","2","2","5",16,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,12,NA,"1",0,"1","4","1","1",416.01
"620",17000,33000,"1","1","2","1","1","2","1","15","15","1","1","1","1","0","1","1","0","0","2","2","0","4","1","2","2","2","1","2","3",32,0,"2","1","1","1","2","2","5",15,NA,"1","1","2","1","2","1","2","9","4","4","2",NA,11,NA,NA,1,"1","2","1","1",374.57
"621",17000,40000,"2","1","2","1","1","2","1","15","2","1","2","2","1","0","1","1","0","0","2","2","0","1","1","1","3","2","1","2","3",35,2,"2","1","2","2","2","2","5",18,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,16,NA,"1",2,"1","2","1","1",345.64
"622",17000,NA,"3","1","2","2","1","2","1","16","1","1","2","2","1","0","0","1","0","0","2","1","0","1","1","1","5","2","1","1","3",41,4,"2","4","3","2","2","2","5",16,NA,"1","1","2","2","2","1","2","9","4","4","2",NA,12,NA,"1",0,"1","5","12","3",293.08
"623",17000,17000,"1","1","2","2","1","1","1","20","15","1","3","6","1","1","1","1","1","0","2","4","0","6","1","1","4","2","1","2","3",39,9,"2","4","6","2","2","2","5",17,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,4,NA,"1",2,"1","5","6","4",333.6
"624",16900,36900,"1","1","1","1","1","2","1","4","5","1","1","1","1","0","1","1","0","0","2","2","0","2","2","2","4","2","2","2","3",35,0,"2","1","4","2","2","2","5",17,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,16,NA,NA,0,"2","4","1","2",297.87
"625",16866.72,81866.72,"1","1","2","0","1","5","1","20","20","1","1","1","1","0","0","1","0","0","2","1","0","1","1","1","3","2","2","1","3",38,4,"2","3",NA,"2","2","2","5",19,NA,"2","1","2","1","2","2","2","4","4","2","2",NA,14,NA,"1",9,"2","4","1","1",405.11
"626",16848,38448,"1","1","2","1","1","5","2","4","2","1","1","1","1","0","1","1","0","0","3","2","0","2","6","1","5","2","2","2","3",39,0,"2","1",NA,"2","2","2","5",15,NA,"2","1","2","2","2","1","2","3","4","1","2",NA,10,NA,NA,4,"1","5","1","2",270.64
"627",16800,21532,"1","2","2","1","1","2","1","20","7","1","2","2","1","1","0","1","0","0","2","2","0","2","2","3","2","2","2","2","3",36,0,"2","1","5","2","2","2","5",10,NA,"2","1","2","1","2","2","2","3","2","1","2",NA,7,NA,NA,0,"1","2","1","1",288.15
"628",16800,16800,"1","1","2","0","1","2","2","19",NA,NA,"1","1",NA,"0","0","2","0","0","4","2","1","3","7","3","2","2","1","1","3",31,5,"2","3","5","2","2","2","5",13,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,15,NA,NA,1,"1","7","1","1",226.59
"629",16800,71800,"1","1","2","0","1","2","1","2","1","1","1","1","1","0","0","2","0","0","2","2","0","1","1","1","4","2","2","1","3",36,2,"2","1","3","1","2","2","5",11,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,12,NA,NA,4,"1","5","4","2",428.04
