W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6Childliv,W6DebtattYP,W8DGHQSC,W8DMARSTAT,W8TENURE,W8DACTIVITY,W8QDEB2
-999,4,1,1,3,1,2,1,16,20,1,2,2,1,0,2,5,0,4,1,3,3,2,1,1,3,33,0,2,1,2,2,2,2,1,4,-91,1,2,2,1,2,2,2,9,4,4,2,-91,11,2,1,2,1,2000
-999,1,1,2,0,1,2,1,6,2,1,1,1,1,1,5,1,0,2,1,1,3,2,1,2,3,40,4,2,2,2,2,2,2,5,16,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,13,1,1,2,1,2000
-999,2,1,2,1,1,4,1,15,-98,-98,2,2,-98,0,6,2,1,4,1,1,3,2,1,2,3,28,2,2,4,6,2,1,2,5,14,-91,2,2,2,2,2,2,2,9,4,4,2,-91,15,5,1,4,1,2000
-999,1,1,2,1,1,6,1,15,4,1,1,1,1,0,2,2,0,2,3,2,3,2,2,1,3,36,0,2,2,4,2,1,1,5,11,-91,1,1,2,1,2,1,2,9,4,4,2,-91,17,1,1,5,1,2000
-999,2,1,2,3,1,1,1,13,9,2,2,2,2,0,2,4,0,4,2,1,5,2,1,2,3,43,0,2,2,-99,-99,-99,-99,4,-99,-99,1,2,2,1,1,-91,-91,1,4,4,2,-91,18,0,1,5,1,2700
-999,1,1,1,2,1,2,1,5,9,1,1,1,1,0,2,3,0,4,1,2,3,2,1,1,3,36,2,2,2,3,2,2,2,5,17,-91,1,1,2,1,1,-91,-91,9,4,4,2,-91,10,3,1,7,1,2800
-999,2,2,1,4,1,1,1,20,20,2,3,6,2,0,2,5,0,4,4,1,3,2,2,1,2,14,2,1,2,-92,2,1,2,5,11,-91,2,1,2,2,2,1,2,9,4,4,2,-91,14,9,1,1,1,3000
-999,2,1,2,0,1,2,1,15,15,1,2,2,1,0,2,2,0,2,1,3,4,1,2,1,3,35,0,2,2,2,2,2,2,5,16,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,13,0,2,2,1,3000
-999,1,1,2,1,1,8,1,20,13,1,2,2,1,0,2,3,0,4,1,3,1,1,1,1,3,29,6,2,3,3,1,1,2,2,11,-91,1,2,2,1,2,2,2,9,4,4,2,-91,10,0,2,4,3,3000
-999,4,1,2,2,1,1,1,2,2,2,2,2,2,0,2,3,0,1,2,1,2,1,1,1,3,30,7,2,3,2,1,-1,1,5,14,-91,2,1,2,1,2,2,2,9,4,4,2,-91,17,6,1,4,2,3000
-999,1,1,2,0,1,2,2,20,15,1,3,6,1,0,2,1,0,4,3,-1,3,2,2,2,3,36,0,2,1,4,2,2,2,5,15,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,16,0,1,5,3,3000
-999,1,1,2,0,1,2,1,19,20,1,1,1,1,0,2,2,0,7,1,3,2,2,1,2,3,35,4,2,3,1,2,1,2,4,16,-91,1,2,2,1,2,2,2,9,4,4,2,-91,15,6,1,5,2,3000
-999,1,1,2,2,1,2,1,4,8,1,1,1,1,0,2,3,0,3,6,1,3,2,2,2,2,42,4,2,4,6,2,2,2,5,14,-91,2,1,2,2,2,2,2,9,4,4,2,-91,15,1,1,4,1,4000
-999,2,2,2,3,1,2,1,15,-98,-98,2,2,-98,0,1,4,1,4,1,2,0,2,1,1,3,35,0,2,2,2,1,2,2,5,14,-91,1,2,2,1,2,2,2,9,4,4,2,-91,11,0,1,4,1,4000
