"","W1GrssyrHH","W1wrk1aMP","W1condur5MP","W1hea2MP","W1NoldBroHS","W1InCarHH","W1hous12HH","W1usevcHH","W1hiqualmum","W1hiqualdad","W1wrkfulldad","W1wrkfullmum","W1empsmum","W1empsdad","IndSchool","W1marstatmum","W1depkids","W1famtyp2","W1nssecfam","W1ethgrpYP","W1heposs9YP","W1hwndayYP","W1truantYP","W1alceverYP","W1bulrc","W1disabYP","W1yschat1","W2ghq12scr","W2disc1YP","W2depressYP","W4AlcFreqYP","W4CannTryYP","W4NamesYP","W4RacismYP","W4empsYP","W4schatYP","W4Childck1YP","W5JobYP","W5EducYP","W5Apprent1YP","W6JobYP","W6UnivYP","W6EducYP","W6Apprent1YP","W6acqno","W6gcse","W6als","W6OwnchiDV","W6Childliv","W6DebtattYP","W8DGHQSC","W8DMARSTAT","W8TENURE","W8DACTIVITY","W8QDEB2"
"35",NA,1,1,2,0,1,2,1,19,"20","1",1,1,"1",0,2,2,0,7,1,3,2,2,1,2,3,35,4,2,3,"1",2,1,2,4,16,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",15,6,"1","5",2,3000
"36",NA,1,1,2,2,1,2,1,4,"8","1",1,1,"1",0,2,3,0,3,6,1,3,2,2,2,2,42,4,2,4,"6",2,2,2,5,14,"Missing",2,"1","2","2",2,"2","2",9,4,4,2,"Missing",15,1,"1","4",1,4000
"37",NA,2,2,2,3,1,2,1,15,"Missing","Missing",2,2,"Missing",0,1,4,1,4,1,2,0,2,1,1,3,35,0,2,2,"2",1,2,2,5,14,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",11,0,"1","4",1,4000
"39",NA,2,1,2,2,1,5,1,2,"5","2",1,1,"2",0,2,3,0,2,1,2,4,2,1,1,3,42,1,2,2,"5",1,2,2,5,20,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",13,1,"1","4",1,4666
"40",NA,1,1,1,1,1,1,1,15,"Missing","Missing",1,1,"Missing",0,4,3,1,4,3,1,4,2,2,1,3,39,2,2,3,"Missing",2,2,2,5,18,"Missing",2,"1","2","2",1,"Missing","Missing",2,4,4,2,"Missing",10,0,"2","2",1,4700
"41",NA,1,1,2,2,1,1,1,8,"15","1",1,1,"1",1,2,4,0,4,1,2,5,2,1,2,3,44,0,2,1,"6",2,2,2,5,15,"Missing",2,"1","2","1",2,"2","2",9,4,4,2,"Missing",10,1,"1","4",1,5000
"42",NA,1,1,1,1,4,6,1,15,"19","1",1,1,"1",0,2,3,0,4,1,3,4,2,1,2,2,44,3,2,2,"3",2,2,2,5,16,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",12,0,"2","4",1,5000
"45",NA,1,1,2,1,1,2,1,3,"7","1",1,1,"1",0,2,2,0,1,1,2,3,2,1,2,3,32,3,1,1,"3",2,2,2,5,11,"Missing",1,"1","2","2",2,"2","2",9,4,4,2,"Missing",10,0,"1","7",1,6000
"48",NA,1,1,2,1,1,6,1,15,"Missing","Missing",1,1,"Missing",0,6,2,1,4,1,1,5,2,1,2,3,45,0,2,1,"3",2,2,2,2,15,"Missing",1,"1","2","1",2,"2","1",9,4,4,2,"Missing",8,0,"1","7",1,8100
"50",NA,1,1,1,0,1,1,1,15,"7","1",1,1,"1",1,2,1,0,4,1,2,5,2,1,2,3,30,4,2,2,"2",1,2,2,5,11,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",17,0,"1","2",3,12000
