"","W1GrssyrHH","W1wrk1aMP","W1condur5MP","W1hea2MP","W1NoldBroHS","W1InCarHH","W1hous12HH","W1usevcHH","W1hiqualmum","W1hiqualdad","W1wrkfulldad","W1wrkfullmum","W1empsmum","W1empsdad","IndSchool","W1marstatmum","W1depkids","W1famtyp2","W1nssecfam","W1ethgrpYP","W1heposs9YP","W1hwndayYP","W1truantYP","W1alceverYP","W1bulrc","W1disabYP","W1yschat1","W2ghq12scr","W2disc1YP","W2depressYP","W4AlcFreqYP","W4CannTryYP","W4NamesYP","W4RacismYP","W4empsYP","W4schatYP","W4Childck1YP","W5JobYP","W5EducYP","W5Apprent1YP","W6JobYP","W6UnivYP","W6EducYP","W6Apprent1YP","W6acqno","W6gcse","W6als","W6OwnchiDV","W6Childliv","W6DebtattYP","W8DGHQSC","W8DMARSTAT","W8TENURE","W8DACTIVITY","W8QDEB2"
"550",NA,10,1,2,2,1,5,1,20,"20","3",3,8,"6",0,2,4,0,8,8,1,4,2,2,1,3,27,2,1,4,"Missing",2,1,2,5,15,"Missing",1,"1","2","1",2,"2","2",3,4,1,2,"Missing",10,8,"1","5",6,1400
"551",NA,5,1,2,4,1,4,1,20,"20","3",3,6,"3",0,2,5,0,7,5,2,5,1,2,2,3,39,4,2,3,"Missing",2,1,2,5,14,"Missing",2,"2","2","1",2,"1","1",9,4,4,2,"Missing",7,4,"2","4",13,1500
"557",NA,9,2,1,1,1,4,2,16,"20","3",3,6,"8",0,2,5,0,4,1,3,2,1,1,1,3,28,3,2,3,"1",1,1,2,1,18,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",10,3,"1","4",1,1600
"559",NA,10,1,2,1,1,4,2,20,"Missing","Missing",3,6,"Missing",0,1,2,1,6,1,3,3,2,2,2,3,35,2,2,1,"Missing",2,2,2,5,17,"Missing",2,"1","2","2",2,"1","2",9,4,4,2,"Missing",12,11,"1","7",2,1700
"563",NA,10,1,2,1,1,5,2,20,"Missing","Missing",3,6,"Missing",0,6,2,1,8,5,1,4,1,2,1,3,29,0,2,2,"Missing",2,2,2,5,11,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",8,1,"1","2",1,2000
"564",NA,9,1,1,1,1,5,1,20,"20","3",3,6,"8",0,2,4,0,4,4,1,3,2,2,2,3,39,0,2,1,"Missing",2,2,1,5,17,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",13,0,"1","2",1,2000
"565",NA,9,1,1,3,1,2,1,19,"Missing","Missing",3,8,"Missing",0,5,4,1,7,1,4,2,2,1,1,3,42,0,2,2,"3",2,1,2,5,15,"Missing",1,"1","1","2",2,"2","2",9,4,4,2,"Missing",9,6,"1","4",1,2000
"567",NA,10,1,1,2,1,4,2,17,"Missing","Missing",3,6,"Missing",0,5,3,1,6,1,2,3,2,1,1,3,45,0,2,1,"6",2,2,2,5,15,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",13,0,"1","4",13,2000
"568",NA,10,1,2,2,1,4,1,13,"Missing","Missing",3,6,"Missing",0,6,3,1,7,1,3,3,2,2,2,2,38,0,2,2,"3",2,2,2,2,15,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",12,0,"1","4",1,2000
"570",NA,10,2,2,1,1,2,2,8,"Missing","Missing",3,6,"Missing",0,1,2,1,2,1,3,4,2,2,1,3,40,0,2,2,"6",2,2,2,5,18,"Missing",2,"2","2","2",2,"1","2",9,4,4,2,"Missing",12,0,"1","4",5,2000
"571",NA,10,1,2,1,1,5,1,15,"Missing","Missing",3,6,"Missing",0,1,2,1,6,1,3,3,2,1,1,3,28,0,2,1,"3",2,2,2,5,13,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",7,0,"2","4",13,2000
"574",NA,5,1,1,1,1,2,2,4,"Missing","Missing",3,3,"Missing",0,4,3,1,8,6,3,3,2,2,2,2,40,1,1,1,"6",1,2,2,5,18,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",8,0,"1","4",1,2000
"575",NA,10,1,2,3,1,4,2,20,"Missing","Missing",3,6,"Missing",0,4,4,1,8,8,2,4,2,1,1,3,38,5,2,4,"6",2,2,1,5,14,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",12,1,"1","4",1,2000
"576",NA,10,1,1,1,1,6,2,20,"20","3",3,6,"7",0,2,3,0,6,5,2,5,2,2,1,3,29,4,1,2,"Missing",2,1,1,5,13,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",12,4,"1","4",1,2000
"577",NA,10,1,2,1,1,4,2,20,"Missing","Missing",3,6,"Missing",0,1,2,1,7,6,2,1,1,1,1,3,16,6,1,3,"3",1,1,1,5,11,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",11,5,"2","4",13,2000
"579",NA,10,1,2,1,1,5,1,13,"Missing","Missing",3,6,"Missing",0,4,3,1,6,1,4,1,2,2,1,3,20,8,1,4,"3",2,2,2,1,5,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",9,0,"1","5",1,2000
"583",NA,10,1,1,4,1,5,2,20,"Missing","Missing",3,6,"Missing",0,5,5,1,7,1,2,3,2,1,2,3,34,0,2,2,"Missing",2,2,2,5,15,"Missing",1,"1","2","1",2,"1","2",3,4,1,2,"Missing",14,4,"7","4",2,2500
"584",NA,10,1,1,2,1,4,2,20,"Missing","Missing",3,6,"Missing",0,4,4,1,7,8,2,3,2,2,2,3,38,1,2,1,"Missing",2,2,2,5,11,"Missing",2,"1","2","2",2,"1","2",8,4,3,2,"Missing",16,1,"1","5",1,2500
"585",NA,8,1,1,1,1,4,1,15,"15","3",3,8,"9",0,2,2,0,7,1,1,3,1,1,1,3,21,7,2,3,"1",1,2,2,5,11,"Missing",2,"1","2","2",2,"2","2",9,4,4,2,"Missing",8,1,"1","7",1,2500
"587",NA,10,1,2,1,1,4,2,16,"Missing","Missing",3,6,"Missing",0,4,3,1,3,1,2,3,2,2,2,3,41,0,2,2,"3",2,2,2,5,16,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",13,0,"1","4",1,2600
"590",NA,10,1,2,1,1,4,2,9,"Missing","Missing",3,6,"Missing",0,5,2,1,8,1,2,3,2,2,2,3,41,6,2,4,"3",2,2,2,2,18,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",13,0,"1","4",13,3000
"591",NA,9,1,1,2,1,5,1,17,"Missing","Missing",3,8,"Missing",0,1,3,1,7,1,2,2,2,1,1,3,34,2,2,1,"2",1,2,2,4,13,"Missing",1,"2","2","2",2,"2","2",9,4,4,2,"Missing",12,0,"1","4",1,3000
"593",NA,10,2,2,3,1,4,1,20,"20","3",3,6,"8",0,3,4,0,7,1,1,1,2,1,1,3,37,0,2,1,"3",2,2,2,5,16,"Missing",2,"1","2","2",2,"1","2",9,4,4,2,"Missing",12,0,"1","4",13,3000
"596",NA,12,1,2,0,1,4,1,20,"Missing","Missing",3,9,"Missing",0,5,3,1,8,8,1,3,2,2,2,3,38,2,2,1,"3",2,2,2,5,13,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",17,2,"1","4",1,3000
"597",NA,10,1,2,2,1,2,1,20,"Missing","Missing",3,6,"Missing",0,5,3,1,6,1,2,2,2,2,1,1,45,2,2,1,"Missing",2,2,1,5,15,"Missing",2,"1","2","2",2,"1","2",3,4,1,2,"Missing",10,12,"1","4",7,3000
"599",NA,9,1,1,1,1,2,2,20,"20","3",3,6,"8",0,2,2,0,7,8,1,3,2,2,2,3,31,0,2,1,"Missing",2,2,2,5,15,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",12,5,"1","4",1,3000
"600",NA,10,1,2,0,1,4,1,15,"Missing","Missing",3,6,"Missing",0,1,1,1,2,7,1,5,2,1,1,3,44,1,1,1,"Missing",1,2,2,5,15,"Missing",2,"1","2","1",2,"2","2",9,4,4,2,"Missing",10,0,"1","5",1,3000
"606",NA,9,1,1,0,1,4,1,15,"Missing","Missing",3,8,"Missing",0,5,1,1,3,1,1,3,2,1,1,3,36,1,2,2,"3",2,2,2,5,18,"Missing",1,"2","2","1",1,"Missing","Missing",1,4,4,2,"Missing",14,1,"1","7",1,3750
"607",NA,10,1,2,2,1,3,2,20,"Missing","Missing",3,6,"Missing",0,1,3,1,8,1,4,2,1,1,2,3,22,NA,1,1,"Missing",2,2,2,3,5,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",12,0,"1","4",4,4000
"609",NA,5,1,2,0,1,6,2,15,"Missing","Missing",3,3,"Missing",0,1,2,1,8,1,1,5,2,1,1,3,39,0,2,2,"2",2,1,2,5,9,"Missing",1,"2","2","2",2,"1","2",4,4,2,2,"Missing",13,0,"1","4",1,4000
"610",NA,10,2,2,1,1,5,1,17,"Missing","Missing",3,6,"Missing",0,1,3,1,2,6,2,3,2,2,2,3,34,4,1,1,"5",2,2,2,5,15,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",13,5,"1","4",1,4000
"611",NA,10,1,2,1,1,1,1,4,"3","3",3,8,"6",0,2,2,0,2,1,3,3,2,2,2,3,40,0,2,1,"3",1,2,2,5,13,"Missing",2,"1","2","1",2,"1","2",9,4,4,2,"Missing",12,1,"1","4",1,4000
"612",NA,10,1,2,1,1,4,1,20,"13","3",3,6,"8",0,3,2,0,7,1,2,2,2,1,1,3,37,6,2,4,"2",2,2,2,5,11,"Missing",1,"1","2","1",2,"2","2",6,2,4,2,"Missing",20,10,"1","5",1,4000
"613",NA,10,2,1,0,1,1,2,16,"Missing","Missing",3,6,"Missing",0,5,2,1,8,3,3,2,1,2,1,3,31,0,2,2,"Missing",2,2,2,5,17,"Missing",2,"2","2","2",2,"2","2",9,4,4,2,"Missing",14,0,"1","5",2,4000
"614",NA,10,1,1,2,1,1,1,20,"Missing","Missing",3,6,"Missing",0,6,3,1,8,4,2,3,2,2,2,3,39,6,2,3,"Missing",2,2,2,1,13,"Missing",1,"2","2","2",2,"2","2",9,4,4,NA,"Missing",13,5,"2","5",5,4000
"615",NA,10,1,1,0,1,4,1,17,"4","3",3,6,"8",0,3,2,0,2,1,1,2,1,1,2,3,42,3,2,3,"3",1,2,2,5,11,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",9,1,"1","7",2,4000
"616",NA,9,1,1,1,1,4,2,4,"20","3",3,8,"8",0,2,3,0,3,1,4,5,2,2,2,1,34,6,2,3,"4",2,1,1,3,7,"Missing",2,"1","2","2",2,"1","2",9,4,4,2,"Missing",12,8,"1","7",1,4000
"618",NA,10,2,2,1,1,4,2,20,"Missing","Missing",3,6,"Missing",0,1,2,1,6,1,2,2,2,1,2,3,34,0,2,1,"3",2,2,2,5,16,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",13,0,"1","7",1,4000
"619",NA,8,1,1,1,1,2,1,1,"2","3",3,8,"8",0,2,4,0,3,7,1,5,2,2,2,3,43,2,2,3,"4",2,2,2,5,18,"Missing",1,"1","2","1",2,"1","2",3,4,1,2,"Missing",12,3,"1","7",1,4000
"620",NA,9,2,1,1,1,4,2,15,"Missing","Missing",3,8,"Missing",0,5,3,1,5,1,4,5,1,1,1,3,38,0,2,1,"6",2,2,2,5,9,"Missing",1,"2","2","2",2,"2","2",9,4,4,1,"1",11,1,"2","2",2,4500
"624",NA,11,1,1,0,1,1,1,15,"14","3",3,6,"7",0,2,1,0,1,1,3,5,2,1,2,3,37,4,2,3,"3",2,1,2,5,15,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",11,12,"1","1",1,5000
"626",NA,10,1,2,2,1,6,1,15,"Missing","Missing",3,6,"Missing",0,4,3,1,2,1,4,2,2,1,2,3,33,0,2,2,"3",2,2,2,5,15,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",13,0,"2","4",1,5000
"628",NA,10,1,2,0,1,4,2,20,"Missing","Missing",3,6,"Missing",0,6,2,1,8,5,2,3,2,2,2,3,40,3,2,1,"Missing",2,2,2,5,12,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",10,5,"1","4",1,5000
"629",NA,10,1,2,0,1,5,2,20,"Missing","Missing",3,6,"Missing",0,5,1,1,8,4,3,5,2,2,1,3,14,5,2,3,"Missing",1,2,2,5,6,"Missing",2,"2","2","1",2,"2","2",9,4,4,2,"Missing",11,6,"1","4",1,5000
"630",NA,6,1,2,4,1,5,2,5,"Missing","Missing",3,5,"Missing",0,4,7,1,8,6,3,5,2,1,2,3,38,5,2,4,"2",2,2,2,5,10,"Missing",2,"1","2","1",2,"1","2",3,4,1,2,"Missing",14,4,"1","4",1,5000
"632",NA,10,2,2,3,1,4,2,20,"Missing","Missing",3,6,"Missing",0,6,3,1,8,5,1,5,2,2,2,3,37,1,2,2,"Missing",2,2,2,5,15,"Missing",2,"2","2","1",2,"2","2",9,4,4,2,"Missing",13,0,"1","4",6,5000
"633",NA,11,1,1,0,1,1,1,15,"15","3",3,6,"7",0,2,1,0,4,1,2,3,2,1,1,3,39,0,2,1,"1",2,1,2,5,13,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",8,0,"1","5",1,5000
"634",NA,5,2,2,3,1,4,1,16,"Missing","Missing",3,3,"Missing",0,5,4,1,8,2,4,5,2,2,1,3,34,0,2,2,"6",1,2,1,3,17,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",12,10,"1","7",1,5000
"636",NA,10,1,1,2,1,5,2,20,"Missing","Missing",3,6,"Missing",0,4,3,1,1,8,1,2,2,2,2,3,43,0,2,1,"Missing",2,2,2,5,19,"Missing",2,"1","2","1",2,"2","2",9,4,4,2,"Missing",14,1,"2","4",5,5500
"637",NA,12,1,1,2,1,4,1,4,"Missing","Missing",3,9,"Missing",0,5,3,1,4,1,1,3,1,1,1,3,40,3,2,2,"5",2,2,2,5,17,"Missing",2,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",12,0,"2","2",13,6000
"639",NA,9,1,1,0,1,4,2,5,"Missing","Missing",3,8,"Missing",0,5,1,1,6,1,1,3,2,1,1,3,40,1,2,1,"5",1,2,2,5,18,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",18,1,"2","2",1,6000
"644",NA,9,2,1,0,1,4,1,20,"20","3",3,8,"8",0,2,1,0,4,3,2,2,2,2,1,3,36,2,2,2,"6",2,2,1,5,11,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,NA,"Missing",16,8,"1","4",6,6000
"645",NA,10,1,1,3,1,4,2,15,"Missing","Missing",3,6,"Missing",0,1,4,1,5,2,2,3,2,1,1,3,30,3,1,1,"6",1,2,2,6,11,"1",2,"1","2","2",2,"1","2",9,4,4,1,"1",14,2,"1","4",1,6000
"646",NA,5,2,1,3,1,4,1,20,"20","3",3,6,"3",0,2,4,0,8,5,2,4,2,2,2,3,42,0,2,1,"Missing",2,2,2,5,11,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",12,5,"2","5",2,6000
"647",NA,10,1,2,0,1,1,2,20,"Missing","Missing",3,6,"Missing",0,5,1,1,6,8,1,3,2,1,1,3,36,9,2,3,"6",1,2,2,5,11,"Missing",2,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",10,0,"1","5",2,6000
"652",NA,10,1,2,1,1,4,1,20,"9","3",3,6,"8",0,2,2,0,7,1,2,4,2,1,1,3,30,6,2,4,"3",1,2,2,5,13,"Missing",1,"2","2","1",1,"Missing","Missing",1,4,4,2,"Missing",17,6,"2","2",2,7000
"653",NA,10,1,1,0,1,6,1,20,"20","3",3,6,"8",0,2,2,0,7,5,2,1,2,2,1,3,43,2,2,1,"Missing",2,2,2,3,19,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",16,0,"1","4",1,7000
"655",NA,10,2,1,2,1,4,2,20,"Missing","Missing",3,6,"Missing",0,1,4,1,7,1,2,2,1,1,1,3,31,1,2,2,"Missing",1,1,2,4,13,"Missing",1,"1","1","2",2,"2","2",9,4,4,1,"1",9,12,"1","4",2,7000
"656",NA,10,1,2,0,1,5,1,7,"Missing","Missing",3,6,"Missing",0,1,1,1,2,2,1,4,2,1,2,3,35,4,2,4,"2",1,2,2,5,4,"Missing",2,"2","2","2",2,"2","2",9,4,4,2,"Missing",11,11,"1","4",2,7000
"657",NA,10,1,1,2,1,5,1,15,"Missing","Missing",3,6,"Missing",0,5,1,1,3,1,2,2,2,1,1,3,29,3,2,3,"2",1,1,2,2,4,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",11,0,"1","5",2,7000
"658",NA,10,1,2,0,1,2,2,20,"Missing","Missing",3,6,"Missing",0,5,2,1,8,3,1,4,2,2,1,3,43,NA,2,3,"Missing",1,2,2,5,18,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",11,9,"1","5",1,7000
"659",NA,10,1,2,0,1,2,1,15,"Missing","Missing",3,6,"Missing",0,5,2,1,6,1,3,2,2,2,1,3,20,0,2,1,"2",1,2,2,3,9,"Missing",1,"2","2","2",2,"2","2",9,4,4,2,"Missing",8,11,"1","5",5,7000
"661",NA,10,1,2,1,1,2,1,7,"Missing","Missing",3,6,"Missing",0,4,2,1,1,1,2,4,2,2,2,3,39,1,2,1,"3",2,2,2,5,17,"Missing",1,"2","2","1",1,"Missing","Missing",1,4,4,2,"Missing",12,3,"1","7",1,7000
"662",NA,10,2,2,1,1,1,1,2,"Missing","Missing",3,6,"Missing",0,5,2,1,8,1,3,3,2,1,2,3,27,0,2,1,"1",1,2,2,1,5,"Missing",1,"2","2","2",2,"2","2",9,4,4,2,"Missing",14,0,"1","5",3,7600
"664",NA,5,2,1,1,1,5,2,15,"Missing","Missing",3,3,"Missing",0,1,2,1,8,1,2,5,2,1,1,1,20,10,2,4,"2",1,1,2,6,10,"1",2,"2","2","2",2,"2","2",9,4,4,1,"1",8,1,"1","4",13,8000
"666",NA,11,2,1,3,1,2,1,20,"20","3",3,6,"7",0,2,4,0,7,5,1,4,2,2,2,3,41,0,2,1,"Missing",2,2,2,5,19,"Missing",2,"1","2","2",2,"1","2",9,4,4,2,"Missing",15,0,"1","5",1,8000
"667",NA,10,1,2,3,1,4,1,9,"Missing","Missing",3,6,"Missing",0,5,4,1,5,1,3,5,2,1,1,3,35,0,2,2,"2",2,2,2,1,7,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",13,0,"1","7",1,8000
"668",NA,12,1,1,0,1,1,1,20,"20","3",3,6,"9",0,2,1,0,4,1,2,3,2,1,1,3,29,0,2,2,"3",1,2,2,5,11,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",16,2,"4","7",1,8000
"670",NA,10,1,1,1,1,6,1,20,"Missing","Missing",3,6,"Missing",0,4,3,1,2,1,2,3,2,2,2,2,26,0,2,1,"2",1,2,2,5,14,"Missing",2,"1","1","1",2,"1","1",9,4,4,2,"Missing",9,0,"1","4",1,8500
"673",NA,10,1,1,1,1,2,1,20,"20","3",3,6,"7",0,2,3,0,7,5,2,4,2,2,2,2,31,0,2,2,"Missing",2,2,2,5,15,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",14,0,"1","4",1,9000
"674",NA,10,2,2,4,1,4,2,20,"20","3",3,6,"8",0,2,6,0,6,5,3,2,1,2,1,3,30,7,2,3,"Missing",2,1,2,4,5,"Missing",2,"2","2","2",2,"2","2",9,4,4,2,"Missing",17,5,"2","4",13,9000
"677",NA,5,1,2,0,1,1,1,20,"9","3",3,6,"3",0,2,1,0,8,4,1,2,2,2,1,3,25,5,1,3,"Missing",2,2,1,5,9,"Missing",2,"2","2","2",1,"Missing","Missing",1,4,4,2,"Missing",11,11,"1","7",4,9000
"678",NA,12,1,1,1,1,5,2,15,"Missing","Missing",3,9,"Missing",0,1,2,1,6,7,2,2,2,2,1,3,41,4,2,1,"6",2,1,2,5,16,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",13,6,"1","4",2,9400
"679",NA,10,1,2,0,1,5,1,20,"20","3",3,6,"8",0,2,1,0,7,1,1,2,2,1,2,3,44,0,2,1,"6",2,2,2,5,15,"Missing",1,"2","2","1",2,"1","1",9,4,4,2,"Missing",13,0,"1","1",1,10000
"680",NA,10,1,1,1,1,5,1,15,"Missing","Missing",3,6,"Missing",0,4,3,1,6,3,1,3,2,2,2,3,45,0,2,1,"Missing",2,2,2,2,14,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",8,0,"2","2",1,10000
"683",NA,9,1,1,1,1,4,1,16,"9","3",3,6,"8",0,2,2,0,4,1,3,2,1,1,2,3,30,5,2,4,"2",1,2,2,1,6,"Missing",1,"2","2","1",2,"2","2",9,4,4,1,"1",11,0,"2","4",2,10000
"687",NA,10,1,2,2,1,6,1,7,"7","3",3,8,"6",0,2,4,0,5,1,3,2,2,1,2,3,43,0,2,2,"2",2,2,2,5,18,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",12,0,"1","5",1,10000
"689",NA,10,1,2,1,1,2,1,7,"Missing","Missing",3,6,"Missing",0,5,2,1,2,1,2,3,2,2,1,3,42,0,2,1,"6",2,2,2,5,17,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",15,0,"1","2",1,12000
"690",NA,10,1,2,1,1,2,1,8,"13","3",3,6,"8",0,2,5,0,7,1,3,2,2,1,1,2,38,1,2,2,"2",1,1,2,3,8,"Missing",2,"2","2","2",2,"2","2",1,4,4,2,"Missing",9,1,"1","4",1,12600
"691",NA,5,1,1,0,1,5,2,15,"Missing","Missing",3,3,"Missing",0,5,1,1,8,4,2,2,2,1,1,3,40,5,1,3,"6",2,2,2,5,18,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",13,6,"1","4",1,13000
"692",NA,5,2,2,0,1,2,2,20,"Missing","Missing",3,3,"Missing",0,5,1,1,8,1,2,3,1,1,1,2,32,1,2,2,"3",1,1,2,5,16,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",11,0,"1","5",1,13000
"693",NA,5,1,2,1,1,2,1,15,"2","3",3,6,"3",0,2,3,0,8,1,2,5,1,1,1,3,38,6,2,4,"3",2,2,2,5,13,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",9,11,"1","5",2,13000
"697",NA,10,1,1,1,1,4,2,20,"20","3",3,6,"8",0,2,3,0,8,5,1,4,2,2,2,3,40,0,1,1,"Missing",1,2,2,5,18,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",9,5,"1","4",1,14000
"702",NA,10,2,1,1,1,4,2,20,"Missing","Missing",3,6,"Missing",0,5,2,1,8,5,2,4,2,2,2,3,33,1,2,1,"Missing",2,2,2,5,18,"Missing",2,"1","2","1",2,"1","2",9,4,4,2,"Missing",9,4,"1","4",3,15000
"704",NA,10,1,1,0,1,4,2,20,"Missing","Missing",3,6,"Missing",0,5,1,1,2,1,4,2,2,1,1,1,20,7,2,3,"2",2,2,2,2,7,"Missing",1,"2","2","1",2,"1","2",9,4,4,2,"Missing",9,0,"1","4",1,20000
"706",NA,10,1,1,1,1,2,1,2,"Missing","Missing",3,6,"Missing",0,5,3,1,2,1,1,3,1,1,2,2,36,1,2,2,"2",1,2,2,5,15,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",14,0,"1","7",14,21000
"707",NA,5,1,2,0,1,6,1,15,"Missing","Missing",3,3,"Missing",0,5,1,0,8,1,3,2,1,1,1,3,34,2,2,2,"2",2,2,2,5,11,"Missing",1,"1","2","1",2,"1","2",3,4,1,2,"Missing",12,0,"1","7",1,23000
"709",NA,10,1,2,2,1,5,2,20,"Missing","Missing",3,6,"Missing",0,4,3,1,6,7,2,5,2,2,2,3,42,1,2,1,"Missing",2,1,1,5,16,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",13,2,"1","5",5,25000
"710",NA,5,2,1,3,4,4,1,20,"16","3",3,6,"3",0,6,1,0,8,5,2,2,2,2,2,2,45,NA,2,2,"Missing",2,2,2,5,17,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",16,1,"1","2",1,26000
"712",NA,10,1,2,0,1,2,1,15,"Missing","Missing",3,6,"Missing",0,5,1,1,3,2,1,3,2,1,1,3,34,1,2,3,"3",1,1,1,5,12,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",16,3,"1","4",1,27000
"714",NA,6,1,2,1,1,4,1,15,"14","3",3,5,"3",0,2,2,0,8,6,1,5,2,2,1,3,29,7,1,4,"6",2,2,2,5,15,"Missing",1,"2","2","1",1,"Missing","Missing",1,4,4,2,"Missing",14,3,"1","4",6,30000
"715",NA,10,1,2,2,1,5,2,20,"20","3",3,6,"8",0,2,3,0,8,5,2,3,1,2,1,1,46,2,2,1,"6",2,1,1,5,17,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",13,9,"1","4",5,30000
"717",NA,10,1,2,1,1,2,1,20,"20","3",3,6,"3",0,2,2,0,4,3,1,3,2,2,2,3,34,1,2,2,"Missing",2,1,1,5,15,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",16,7,"1","5",3,35000
"719",NA,10,2,1,0,1,4,2,20,"Missing","Missing",3,6,"Missing",0,1,1,1,6,1,2,2,1,1,2,3,36,1,2,1,"5",1,2,2,5,13,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",18,9,"1","4",6,38500
"720",NA,10,1,2,0,1,2,1,7,"Missing","Missing",3,6,"Missing",1,4,2,1,6,1,2,4,2,2,1,3,31,0,2,1,"6",2,2,2,5,14,"Missing",2,"2","2","2",2,"2","2",9,4,4,2,"Missing",14,1,"1","4",2,40000
"721",NA,10,1,1,0,1,1,1,15,"4","3",3,6,"7",0,3,2,0,1,1,3,1,2,1,1,3,29,0,2,1,"2",2,1,2,5,17,"Missing",1,"1","2","1",2,"1","2",3,4,1,2,"Missing",14,1,"1","4",1,40000
"722",NA,10,1,1,1,1,1,1,16,"Missing","Missing",3,6,"Missing",0,5,2,1,3,1,1,2,1,1,1,3,31,1,2,1,"4",2,1,1,5,9,"Missing",2,"2","2","2",1,"Missing","Missing",1,4,4,2,"Missing",14,1,"1","4",1,40000
"723",NA,9,1,1,1,1,5,1,2,"Missing","Missing",3,8,"Missing",0,5,2,1,2,2,4,2,2,2,1,3,33,0,1,1,"6",2,2,1,5,9,"Missing",1,"2","2","1",1,"Missing","Missing",1,4,4,2,"Missing",4,0,"2","2",1,46000
"724",NA,9,1,1,1,1,2,1,20,"20","3",3,8,"8",0,2,2,0,7,4,1,4,2,2,2,3,45,2,2,1,"Missing",1,2,2,5,20,"Missing",2,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",6,4,"2","2",1,100000
"725",NA,10,1,2,0,1,2,2,20,"20","3",3,6,"8",0,2,1,0,8,4,2,3,2,2,2,3,42,0,1,1,"Missing",2,2,1,5,16,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",15,2,"2","2",1,108000
"726",NA,10,1,1,0,1,1,2,20,"Missing","Missing",3,6,"Missing",0,4,2,1,7,1,4,3,2,2,2,1,23,0,2,1,"5",1,2,2,5,13,"Missing",2,"2","2","2",2,"1","2",9,4,4,2,"Missing",10,9,"2","2",1,220000
