W1GrssyrMP,W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6Childliv,W6DebtattYP,W6NEETAct,W8DDEGP,W8DGHQSC,W8DMARSTAT,W8TENURE,W8DACTIVITY,W8QMAFI,W8DINCW
27720,27720,1,1,1,0,1,2,1,3,-98,-98,1,1,-98,0,0,1,0,0,5,1,1,1,1,1,3,1,1,1,3,33,1,-1,2,2,1,2,2,5,14,-91,2,1,2,1,1,-91,-91,1,4,4,2,-91,14,-91,0,3,1,4,1,1,339.62
27720,54600,1,1,2,0,1,2,1,1,14,1,1,1,1,0,0,1,1,0,2,2,0,7,1,1,5,2,1,2,3,40,2,2,2,4,1,2,2,5,15,-91,2,1,2,2,1,-91,-91,9,4,4,2,-91,13,-91,1,4,1,2,1,1,334.29
27705.6,42634.8,1,1,2,0,1,2,1,16,13,1,1,1,1,0,0,1,0,0,2,1,0,3,1,1,2,1,1,1,3,38,8,2,3,2,2,2,2,5,11,-91,1,2,2,1,2,2,2,9,4,4,2,-91,11,-91,-1,1,4,5,13,3,413.13
27683.76,27683.76,1,1,2,1,1,2,1,-99,-98,-98,-99,-99,-98,0,0,2,0,0,2,2,0,1,1,1,5,2,2,1,3,28,0,2,2,2,1,2,2,5,16,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,17,-91,1,9,2,2,1,2,410.64
27600,-99,1,1,1,0,1,2,1,1,-99,1,1,1,1,0,0,1,0,0,2,1,0,2,3,1,5,2,2,1,3,45,6,2,4,-91,2,2,-1,5,17,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,13,-91,0,0,1,5,1,1,301.3
27600,87600,1,1,1,0,1,2,1,1,1,1,1,1,1,0,0,1,0,1,2,1,0,1,1,1,5,2,1,1,3,43,0,2,1,2,2,2,2,5,13,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,14,-91,1,1,1,2,1,1,358.11
27600,38000,1,1,2,0,1,2,1,14,15,1,2,2,1,0,0,1,1,0,2,2,0,2,1,3,5,2,2,1,3,39,0,2,2,4,2,2,2,5,15,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,11,-91,1,0,1,2,1,2,375.67
27600,57600,1,1,1,0,1,2,1,2,2,1,1,1,1,0,0,1,0,0,2,1,0,1,1,1,4,2,2,1,3,39,0,2,2,-97,-97,-97,-97,5,16,-91,2,2,2,2,1,-91,-91,1,4,4,2,-91,13,-91,1,0,1,2,6,2,317.81
27552,46872,1,1,1,0,1,2,1,2,13,1,1,1,1,0,0,1,1,0,2,2,0,2,1,1,5,2,1,1,3,41,1,2,1,2,1,2,2,5,15,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,15,-91,1,0,1,2,1,2,380.19
27500,51500,1,1,2,1,1,2,1,1,9,1,1,1,1,0,0,2,0,0,2,2,0,6,1,2,3,2,2,1,2,27,2,2,1,2,2,2,1,5,15,-91,1,2,2,1,1,-91,-91,1,4,4,2,-91,16,-91,0,2,2,4,1,1,325.95
27331.2,-1,1,1,1,0,1,1,1,4,5,1,2,2,1,0,1,1,1,0,2,3,0,3,1,4,1,2,1,1,3,38,0,2,1,-99,-99,-99,-99,4,-99,-99,1,2,2,1,2,1,2,9,4,4,1,1,12,-91,1,-1,2,2,13,2,290.32
27300,52273.52,1,1,2,0,1,2,1,4,8,1,1,1,1,0,0,1,0,0,2,1,0,2,1,2,5,2,1,2,3,43,1,2,2,3,2,2,2,5,18,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,10,-91,1,0,2,2,1,1,325.85
27300,63300,1,1,1,1,1,6,1,6,8,1,1,1,1,0,1,1,0,0,2,2,0,1,7,1,3,2,2,1,3,42,4,1,3,-91,2,2,2,5,13,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,13,-91,1,0,1,5,1,2,313.15
27300,37284,1,1,2,1,1,2,1,16,3,1,1,1,1,0,1,1,1,0,2,3,0,6,1,-1,4,2,1,2,3,33,0,2,2,6,2,2,2,5,10,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,13,-91,1,0,1,4,1,3,355.21
27031.68,37234.08,1,1,2,0,1,2,1,20,9,1,1,1,1,0,0,1,0,0,2,1,0,5,1,1,5,2,1,2,3,26,1,2,2,4,2,2,2,5,9,-91,1,2,2,1,2,2,2,9,4,4,2,-91,15,-91,-1,12,1,4,1,2,359.32
27000,37000,1,1,2,0,1,2,1,2,9,1,1,1,1,0,0,1,0,0,2,1,0,2,1,3,3,2,2,2,3,35,11,2,4,1,2,1,2,5,11,-91,1,2,2,2,2,2,2,9,4,4,2,-91,8,1,-1,3,1,4,5,1,368.18
27000,27000,1,1,2,2,1,8,1,20,2,1,3,6,1,0,2,1,1,0,2,4,0,6,4,4,1,2,2,2,3,21,0,2,2,-91,2,2,2,5,13,-91,2,1,2,2,2,1,2,3,4,1,2,-91,12,-91,-1,0,1,7,6,1,222.98
27000,27000,1,1,1,4,1,6,1,2,-98,-98,1,1,-98,0,0,1,0,0,5,1,1,1,1,2,4,2,1,2,2,30,1,2,2,3,2,2,1,5,16,-91,2,1,2,2,2,1,2,3,4,1,2,-91,15,-91,-1,3,1,7,1,2,319.46
27000,32850,1,1,1,1,1,2,1,5,5,1,2,2,1,0,1,1,0,0,2,2,0,2,1,2,3,2,2,1,3,41,0,2,1,5,2,2,2,5,18,-91,2,1,2,2,2,2,2,9,4,4,2,-91,14,-91,-1,3,1,7,1,3,345.11
27000,45000,1,1,2,0,1,2,1,3,4,1,1,1,1,0,0,1,0,0,2,1,0,2,1,3,1,2,1,2,2,28,0,1,1,4,1,2,2,1,11,-91,1,2,2,1,2,2,2,9,4,4,2,-91,14,-91,0,4,1,4,1,2,366.98
27000,32803.2,3,1,2,1,-999,-999,-91,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,1,1,5,2,2,1,3,41,2,2,2,2,2,1,2,5,15,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,15,-91,1,8,4,1,1,1,392.12
27000,27000,1,1,2,0,1,2,1,1,-98,-98,1,1,-98,0,0,2,1,0,5,3,1,-94,1,1,3,2,-1,2,3,38,0,2,2,3,2,2,2,5,15,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,13,-91,1,-1,1,4,1,2,269.05
27000,-999,1,1,2,0,1,2,1,5,13,1,1,1,1,0,0,2,0,0,2,2,0,2,1,1,2,2,1,2,3,34,6,2,3,3,1,2,2,5,11,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,13,-91,1,1,1,2,1,2,399.32
27000,27000,1,1,2,0,1,2,1,6,-98,-98,1,1,-98,0,0,1,1,0,5,2,1,6,1,2,5,2,1,-1,3,27,10,2,4,2,1,1,2,5,16,-91,2,2,2,2,1,-91,-91,1,4,4,2,-91,12,-91,1,2,1,4,1,2,307.83
27000,-1,1,1,2,0,1,2,1,6,4,1,2,2,1,0,0,1,1,0,2,2,0,1,1,3,2,2,-1,1,3,34,0,2,2,3,2,2,2,5,16,-91,2,1,2,1,1,-91,-91,1,4,4,2,-91,14,-91,1,0,1,2,2,3,426.81
27000,45400,1,1,2,0,1,2,1,2,7,1,2,2,1,0,0,1,1,0,2,2,0,1,1,1,4,2,1,2,3,39,1,2,2,2,1,1,2,5,16,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,14,-91,1,0,1,4,1,3,389.03
26955.24,33975.76,1,1,2,1,1,2,1,4,4,1,2,2,1,0,1,1,0,0,2,2,0,1,1,3,3,2,2,1,3,34,0,2,1,2,1,2,2,1,11,-91,1,1,1,1,2,2,1,3,4,1,2,-91,13,-91,-1,4,2,2,1,2,306.25
26936,-92,1,1,2,2,1,6,1,7,15,1,1,1,1,0,2,1,0,0,2,3,0,3,1,1,2,2,1,2,3,30,0,2,2,2,2,2,2,5,14,-91,1,1,2,1,1,-91,-91,9,4,4,2,-91,12,-91,0,3,2,2,1,2,422.43
26880,26880,1,2,2,0,1,2,1,6,-98,-98,1,1,-98,0,0,1,0,0,1,1,1,2,1,2,2,2,1,1,3,35,6,2,4,4,1,1,2,1,14,-91,2,2,2,2,2,1,2,9,4,4,1,1,12,-91,-1,1,1,4,14,2,375.81
26880,26880,1,1,2,0,1,2,1,-98,4,1,-98,-98,1,0,0,1,0,0,-98,1,1,2,1,3,-91,2,2,1,1,32,0,2,2,6,2,2,2,4,7,-91,1,2,2,1,2,2,2,9,4,4,2,-91,11,-91,-1,0,1,7,1,3,266.2
26880,-99,1,1,2,1,1,2,1,2,-99,1,1,1,1,0,1,2,0,0,2,3,0,-99,1,2,2,2,2,2,3,37,0,2,2,3,2,2,2,5,17,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,14,-91,1,1,1,4,1,2,358.25
26880,36240,1,1,2,0,1,2,1,3,7,1,1,1,1,0,0,1,0,1,2,1,0,2,1,1,3,2,2,1,3,42,0,2,2,3,2,1,2,5,16,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,14,-91,1,0,1,5,6,2,401.17
26760,-92,1,1,2,0,1,2,1,2,2,1,1,1,1,0,0,2,0,0,2,2,0,1,6,-1,1,-1,2,1,3,29,1,2,2,6,2,2,1,3,6,-91,2,1,2,2,2,1,2,9,4,4,2,-91,12,-91,-1,2,1,7,2,1,216.17
26544,26544,1,1,1,0,1,2,1,2,-98,-98,1,1,-98,0,0,1,0,0,5,1,1,2,1,1,5,2,2,2,3,37,3,2,3,5,2,2,2,5,15,-91,1,1,2,2,2,1,2,9,4,4,2,-91,11,-91,1,0,1,4,1,1,342.29
26500,26500,1,1,2,1,1,2,1,15,-98,-98,1,1,-98,0,1,1,0,0,5,2,1,2,1,1,5,2,1,1,3,35,4,2,3,2,1,1,2,5,11,-91,1,1,2,1,2,2,2,6,2,4,2,-91,13,-91,0,1,1,2,1,2,337.8
26400,26400,1,1,2,0,1,2,1,5,20,3,1,1,7,0,0,1,1,0,2,1,0,2,1,2,4,2,2,2,3,42,0,2,2,-91,2,2,2,5,18,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,13,-91,-1,0,1,5,1,2,351.54
26400,-999,1,1,2,0,1,1,1,3,9,1,1,1,1,0,0,1,1,0,2,1,0,4,1,2,5,1,1,-1,3,39,3,2,3,2,1,2,2,5,17,-91,1,1,2,1,2,2,2,9,4,4,2,-91,12,-91,-1,8,1,4,1,3,402.67
26400,26400,1,1,2,0,1,2,1,-98,13,1,-98,-98,1,0,0,1,0,0,-98,1,1,2,1,1,-91,2,1,1,2,20,0,2,2,2,1,2,2,5,8,-91,1,1,2,1,2,2,2,9,4,4,2,-91,13,-91,-1,2,1,4,1,4,362.57
26400,26400,1,1,2,1,1,2,1,7,-98,-98,1,1,-98,0,0,2,0,0,5,2,1,2,1,2,2,2,1,2,3,37,0,2,1,2,1,2,2,5,11,-91,2,2,2,2,2,2,2,9,4,4,2,-91,12,1,0,2,1,7,1,1,327.56
26400,26400,1,1,1,1,1,1,1,15,4,1,3,6,1,0,0,3,0,0,2,3,0,1,1,4,-91,-96,-96,-96,1,-96,1,2,-1,-91,2,2,2,5,13,-91,2,1,2,2,2,1,2,9,4,4,2,-91,9,-91,0,6,1,4,11,2,275.89
26400,33654,1,1,2,0,1,2,1,16,9,1,2,2,1,0,0,1,0,0,2,1,0,2,1,1,2,2,2,1,3,37,0,2,1,2,1,2,2,5,15,-91,1,1,2,2,2,2,2,3,4,1,2,-91,9,-91,0,0,1,2,1,2,287.53
26400,33420,1,1,2,2,1,2,1,6,2,1,2,2,1,0,2,1,0,0,1,3,0,2,1,2,2,2,2,1,3,39,3,2,3,-91,2,2,2,5,5,-91,1,1,2,2,1,-91,-91,9,4,4,2,-91,11,-91,0,1,1,5,6,2,317.85
26400,54400,1,1,2,0,1,2,1,2,4,1,1,1,1,0,0,1,1,0,2,2,0,2,1,2,4,2,1,1,3,33,2,2,3,2,2,2,2,5,15,-91,1,1,2,1,2,2,2,9,4,4,2,-91,12,-91,0,0,1,4,1,2,354.18
26400,-1,1,1,2,1,1,1,1,17,4,1,2,2,1,0,0,2,0,0,2,2,0,1,3,1,5,2,2,2,3,34,3,-1,3,6,2,2,2,5,13,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,17,-91,1,3,1,5,3,1,297.55
26400,58800,1,1,2,1,1,2,1,2,4,1,1,1,1,0,0,2,0,0,2,2,0,2,1,2,2,2,1,2,2,42,1,2,2,2,2,2,2,4,6,-91,1,2,2,1,2,1,2,9,4,4,2,-91,3,-91,1,0,1,7,1,2,353.83
26400,26400,1,1,2,0,1,1,1,4,8,3,1,1,7,0,0,1,1,0,2,1,0,1,1,3,1,2,1,1,3,25,0,2,1,3,2,2,2,4,13,-91,1,1,1,1,2,1,1,9,4,4,2,-91,18,-91,1,1,1,2,1,2,331.78
26400,53640,1,1,2,1,1,1,1,7,7,1,1,1,1,0,0,2,0,0,2,2,0,2,1,1,4,2,2,1,3,39,2,1,2,3,1,2,2,5,18,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,16,-91,1,4,1,4,6,2,430.75
26400,42416,1,1,2,0,1,2,1,7,7,1,1,1,1,0,0,2,1,0,2,2,0,2,1,2,2,2,2,1,3,42,1,2,1,3,1,2,2,5,14,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,14,-91,1,3,1,7,1,3,392.33
26400,47200,1,1,2,-995,1,2,1,3,15,1,1,1,1,0,0,1,0,0,3,1,0,2,6,2,4,2,1,2,-94,40,3,1,3,-91,2,1,2,5,12,-91,1,1,2,1,2,1,2,3,4,1,2,-91,13,-91,1,0,1,4,1,3,295.4
26400,40980.8,1,1,2,0,1,2,1,2,20,1,1,1,1,0,0,1,1,0,2,2,0,2,1,1,5,2,1,1,2,42,0,2,2,2,2,2,2,5,16,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,19,-91,1,0,1,4,1,3,299.48
26268,86268,1,1,2,0,1,2,1,1,1,1,1,1,1,0,0,2,0,0,2,2,0,1,7,1,4,2,1,2,1,36,6,1,4,2,2,2,2,5,16,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,19,-91,-1,3,1,7,1,1,223.18
26100,52200,1,1,2,0,1,2,1,2,1,1,1,1,1,0,0,2,0,0,2,2,0,5,1,1,5,2,2,2,3,34,5,2,3,3,1,1,1,5,14,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,15,-91,1,2,1,4,1,4,427.82
26083.2,58583.2,1,1,1,0,1,2,1,2,2,1,1,1,1,0,0,1,0,0,3,1,0,1,1,1,5,2,1,2,3,32,1,2,1,2,2,1,2,5,11,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,14,-91,1,0,1,4,1,2,273.34
26000,63000,1,1,2,0,1,2,1,15,15,1,1,1,1,0,0,1,0,0,2,1,0,1,1,1,3,2,1,2,3,40,1,2,1,2,1,2,2,4,16,-91,1,2,1,1,2,1,1,9,4,4,2,-91,15,-91,-1,1,1,2,3,1,332.2
26000,26000,2,1,1,2,1,1,1,1,-98,-98,2,2,-98,0,2,1,0,0,5,3,1,3,2,3,3,-92,1,1,3,24,1,2,2,2,1,1,1,1,13,-91,1,1,1,2,2,1,1,9,4,4,2,-91,11,-91,-1,5,1,2,3,1,265.57
26000,63544,1,1,1,0,1,2,1,4,15,1,1,1,1,0,0,1,0,0,3,1,0,2,6,2,-91,2,1,1,3,37,0,2,1,2,1,2,2,5,13,-91,1,1,2,1,2,1,2,4,4,2,2,-91,8,-91,-1,0,1,1,1,2,232.45
26000,26000,1,1,1,0,1,2,1,-98,-98,-98,-98,-98,-98,0,0,2,0,0,-98,2,0,2,2,2,3,2,2,2,3,31,6,2,4,4,1,2,2,5,16,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,7,-91,-1,0,1,4,1,2,345.82
26000,26000,1,1,2,4,1,4,1,3,2,1,3,6,1,1,3,1,0,0,2,5,0,2,7,2,5,2,2,2,3,31,4,1,3,-91,2,2,1,5,11,-91,1,2,2,1,1,-91,-91,1,4,4,2,-91,14,-91,-1,1,1,5,1,3,269.34
26000,-999,1,1,2,0,1,1,1,7,14,1,1,1,1,0,0,1,0,0,2,1,0,4,1,3,3,-1,2,1,3,26,6,2,2,5,2,2,1,5,15,-91,1,1,2,1,2,1,2,2,4,4,2,-91,8,-91,0,0,2,7,1,1,397.67
26000,30149.6,1,1,2,1,1,2,1,16,4,1,2,2,1,0,0,2,0,0,2,2,0,5,1,3,5,2,2,2,3,48,0,2,2,2,2,2,2,5,19,-91,1,2,2,2,2,2,2,9,4,4,2,-91,9,-91,0,0,1,2,1,1,241.82
26000,26000,1,1,2,1,1,2,1,16,-98,-98,1,1,-98,0,1,1,0,0,3,2,1,3,7,1,2,1,2,-1,3,38,0,2,1,5,1,2,2,5,12,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,14,-91,0,3,1,5,1,2,302.81
26000,26000,1,1,2,0,1,5,2,15,-98,-98,1,1,-98,0,0,1,0,0,1,1,1,2,6,2,2,2,2,2,3,30,0,2,1,5,1,2,2,5,17,-91,1,1,2,1,2,1,1,9,4,4,2,-91,13,-91,0,2,1,7,1,2,253.44
26000,26000,1,1,2,0,1,2,1,3,9,3,1,1,8,0,0,1,1,0,2,2,0,2,1,1,2,2,1,2,3,31,0,2,2,2,2,2,-92,5,16,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,17,-91,1,3,1,4,6,1,397.64
26000,86000,2,1,2,0,1,2,1,4,1,1,2,2,1,0,0,2,0,1,2,2,0,1,1,2,5,2,2,2,3,43,0,2,2,-91,2,2,2,5,16,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,11,-91,1,0,2,2,1,1,432.23
26000,26000,1,1,1,2,1,2,1,15,-98,-98,1,1,-98,0,2,1,0,0,5,3,1,3,1,2,3,2,-1,2,3,42,1,2,1,5,1,1,2,5,14,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,16,-91,1,0,1,7,1,1,400.7
26000,43472,1,1,2,1,1,2,1,4,16,1,1,1,1,0,1,1,0,0,2,2,0,1,1,2,3,2,1,1,3,38,1,2,1,2,2,1,2,5,14,-91,1,2,2,1,2,2,2,9,4,4,2,-91,11,-91,1,0,2,2,6,2,368.16
26000,50002.16,1,1,2,0,1,2,1,1,6,1,1,1,1,0,0,1,1,0,2,2,0,2,1,1,3,2,1,2,3,38,0,2,1,2,1,2,2,5,15,-91,2,1,2,1,2,2,2,9,4,4,2,-91,14,-91,1,0,1,7,1,2,396.43
26000,26000,1,1,2,5,1,2,1,20,2,1,3,6,1,1,4,1,0,0,2,6,0,3,4,2,3,2,2,2,3,43,0,2,1,-91,2,2,2,5,17,-91,2,1,2,1,1,-91,-91,1,4,4,2,-91,10,-91,1,0,1,7,1,2,277.99
26000,26000,1,1,2,2,1,1,1,20,4,1,3,6,1,0,2,1,0,0,2,3,0,2,4,1,5,2,2,2,3,33,0,2,1,-91,2,2,2,5,15,-91,2,1,2,2,2,1,2,3,4,1,2,-91,13,-91,1,-1,1,5,5,2,273.74
26000,26000,1,1,2,0,1,6,1,3,-98,-98,1,1,-98,0,0,1,0,0,1,1,1,2,7,1,2,2,2,2,3,30,10,1,4,-91,2,2,1,5,16,-91,1,1,2,1,2,2,2,3,4,1,2,-91,14,-91,1,3,1,7,3,2,210.95
26000,26000,1,1,2,1,1,2,1,1,-98,-98,1,1,-98,0,1,1,0,0,5,2,1,2,1,1,5,2,1,2,3,42,3,2,3,6,2,2,2,5,16,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,18,-91,1,8,1,4,1,2,322.36
26000,52000,1,1,2,0,1,1,1,1,3,1,1,1,1,0,0,2,0,0,2,2,0,2,2,2,3,2,2,2,2,45,0,-1,1,-1,2,1,2,5,13,-91,2,1,2,1,2,1,2,9,4,4,2,-91,13,-91,1,1,1,2,1,2,273.93
26000,50000,3,1,2,2,1,2,1,1,4,1,2,2,1,0,2,1,0,0,3,3,0,2,2,2,3,2,2,1,1,30,3,-92,3,6,1,2,1,5,8,-91,2,1,2,1,2,1,2,9,4,4,2,-91,10,-91,1,0,1,4,4,3,268.35
25980,-92,2,1,2,0,1,2,1,7,2,1,2,2,1,0,0,1,0,0,2,1,0,1,7,1,4,2,1,2,3,33,0,2,2,3,2,2,2,5,14,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,16,-91,0,0,1,5,1,1,272.08
25958.4,36605.4,1,1,2,2,1,2,1,15,17,1,1,1,1,0,1,2,0,0,2,3,0,5,1,3,5,2,2,2,3,33,0,2,1,3,2,2,2,3,12,-91,1,2,2,1,2,2,2,9,4,4,2,-91,11,-91,-1,1,1,5,1,3,284.74
25896,54215.2,1,1,2,1,1,2,1,2,9,1,1,1,1,0,0,2,0,0,2,2,0,2,1,1,2,2,1,2,1,42,2,2,3,2,2,1,2,5,15,-91,1,1,2,1,2,1,2,9,4,4,2,-91,12,-91,0,0,1,4,1,2,289.85
25800,-92,1,1,2,1,1,2,1,3,7,1,1,1,1,0,0,2,1,1,2,3,0,2,2,2,4,2,2,2,1,35,0,2,1,-91,2,2,2,5,7,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,9,-91,1,0,2,2,1,1,293.42
25776,25776,1,1,2,0,1,1,1,-99,4,1,-99,-99,1,0,0,3,1,0,3,4,0,2,1,1,5,2,1,2,3,46,0,2,1,2,1,2,2,5,15,-91,1,1,2,2,2,2,2,9,4,4,2,-91,12,-91,0,1,1,2,1,2,366.92
25740,-999,2,1,2,1,1,2,1,1,19,1,2,2,1,0,0,2,0,0,2,2,0,1,4,1,5,2,2,2,3,34,7,2,3,-91,2,1,2,5,16,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,15,-91,1,0,1,1,1,2,325.02
25728,40843.36,1,1,1,0,1,1,1,3,9,1,2,2,1,0,0,1,0,0,2,1,0,6,1,2,3,2,2,1,3,35,2,1,1,2,2,1,2,4,17,-91,1,1,1,1,1,-91,-91,1,4,4,2,-91,7,-91,1,3,1,2,1,3,322.49
25646.92,46046.92,1,1,2,0,1,2,1,6,8,1,1,1,1,0,0,1,0,0,2,1,0,1,1,1,1,2,1,1,2,30,7,2,2,2,1,1,2,5,6,-91,1,1,2,1,2,2,2,3,4,1,2,-91,12,-91,1,11,1,4,1,4,299.62
25600,-1,1,1,2,0,1,1,1,15,8,1,2,2,1,0,0,1,0,0,2,1,0,1,1,3,3,2,-1,1,3,31,2,2,1,-91,2,2,2,5,18,-91,2,1,2,2,2,2,2,9,4,4,2,-91,8,-91,0,0,1,7,1,1,331.37
25600,46600,1,1,2,1,1,2,1,6,4,1,1,1,1,0,1,1,0,0,2,2,0,2,1,1,-91,2,1,1,3,31,4,2,2,5,1,2,2,5,9,-91,2,2,2,1,2,2,2,9,4,4,2,-91,10,-91,0,2,1,4,1,2,464.35
25560,46360,1,1,1,1,1,2,1,2,13,1,1,1,1,0,1,1,0,0,2,2,0,2,1,1,3,2,1,1,3,32,1,2,1,2,2,2,2,5,17,-91,2,1,2,1,2,2,2,9,4,4,2,-91,9,-91,-1,2,1,5,1,2,394.57
25536,25536,1,1,2,1,1,2,1,2,20,1,1,1,1,0,1,1,1,0,2,3,0,-94,1,2,1,2,1,2,3,42,1,2,-1,2,2,2,2,5,16,-91,2,2,2,2,2,2,2,9,4,4,2,-91,16,-91,1,6,1,2,13,2,434.93
25500,41903.4,1,1,2,0,1,2,1,6,13,1,1,1,1,0,0,1,0,0,3,1,0,6,1,1,4,1,1,1,3,34,4,2,3,4,1,1,2,5,14,-91,1,2,1,1,2,2,1,9,4,4,2,-91,7,-91,-1,-1,1,7,1,-1,367.86
25500,53500,1,1,2,0,1,2,1,15,2,1,1,1,1,0,0,1,1,0,2,2,0,2,1,1,5,2,1,1,3,32,8,2,4,2,1,2,2,5,16,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,15,-91,0,1,1,2,1,2,407.73
25500,-92,1,1,2,0,1,2,1,1,9,1,1,1,1,0,0,2,0,0,2,2,0,2,1,3,2,2,1,1,3,19,0,2,2,2,1,2,2,5,13,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,14,-91,1,6,1,7,1,2,385.79
25498.2,-1,1,1,2,0,1,2,1,3,1,1,1,1,1,0,0,2,1,0,2,3,0,2,1,2,3,2,1,1,1,33,5,2,3,3,2,2,2,5,16,-91,1,2,2,2,2,2,2,2,4,4,2,-91,12,-91,1,2,1,5,1,2,333.39
25480,-99,1,1,2,3,1,2,1,2,-99,-94,1,1,-94,0,3,1,0,0,2,4,0,2,7,1,3,2,2,2,3,37,3,1,2,-91,2,2,1,5,13,-91,1,1,2,2,2,1,2,3,4,1,2,-91,11,-91,-1,3,1,5,6,2,234.04
25404,25404,1,1,2,0,1,2,1,15,-98,-98,1,1,-98,0,0,1,0,0,5,1,1,5,1,4,3,2,2,2,3,33,-99,-99,-99,3,1,1,2,5,6,-91,1,-92,2,1,2,2,2,9,4,4,2,-91,12,-91,-1,10,1,5,2,3,326.21
25296,25296,2,1,2,0,1,1,1,2,1,3,2,2,7,0,0,1,1,0,2,2,0,2,1,1,5,2,1,2,2,34,0,2,2,5,1,2,2,5,16,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,12,-91,1,1,1,1,1,2,454.43
25292.8,47496.8,1,1,2,1,1,2,1,4,16,1,1,1,1,0,1,1,0,0,2,2,0,5,1,1,3,-1,1,2,3,28,3,1,2,4,2,2,2,5,12,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,17,-91,-1,2,1,5,5,1,320.38
25200,25200,1,1,1,0,1,2,1,6,-98,-98,1,1,-98,0,0,1,1,0,6,2,1,2,8,1,5,2,1,1,3,37,11,2,4,5,1,1,1,5,14,-91,2,2,2,2,2,2,2,9,4,4,2,-91,13,-91,0,5,2,4,1,4,306.71
25200,30200.32,1,1,2,1,1,2,1,6,4,2,1,1,2,0,1,2,1,0,3,4,0,2,6,1,5,2,1,2,3,33,0,2,1,4,2,2,2,5,14,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,12,-91,1,0,1,4,6,2,273.93
25200,50400,1,1,2,0,1,2,1,15,4,1,1,1,1,0,0,1,0,0,2,1,0,1,1,2,3,2,2,2,3,33,0,2,2,6,2,2,2,5,16,-91,1,1,2,1,2,1,2,3,4,1,2,-91,10,-91,1,0,1,4,1,2,352.43
25200,44400,1,1,2,1,1,2,1,15,3,1,1,1,1,0,1,1,0,0,2,2,0,1,1,1,5,2,2,1,3,40,2,2,3,4,2,1,2,5,11,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,17,-91,1,0,1,7,6,2,395.7
25200,47200,1,1,1,1,1,2,1,2,19,1,1,1,1,0,1,1,0,0,2,2,0,2,4,1,4,2,2,1,3,39,3,1,3,-92,2,2,1,5,15,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,14,-91,1,11,1,5,1,3,265.62
