W1GrssyrMP,W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6Childliv,W6DebtattYP,W6NEETAct,W8DDEGP,W8DGHQSC,W8DMARSTAT,W8TENURE,W8DACTIVITY,W8QMAFI,W8DINCW
79040,79040,1,1,2,0,1,2,1,-98,2,1,-98,-98,1,0,0,1,1,0,-98,2,1,1,1,2,3,2,1,1,3,29,1,2,2,2,1,1,2,5,15,-91,2,2,2,2,2,2,2,9,4,4,2,-91,13,-91,-1,3,1,3,1,1,339.2
78000,142688,1,1,1,-995,1,2,1,9,9,1,1,1,1,0,0,2,0,0,2,2,0,5,1,2,3,2,1,1,-94,29,4,2,4,2,1,2,2,2,9,-91,2,2,2,1,2,2,2,9,4,4,2,-91,14,-91,-1,5,1,5,2,2,381.13
78000,96008.64,1,1,2,1,1,2,1,2,1,1,1,1,1,0,1,1,1,0,2,3,0,1,7,1,5,2,2,2,3,43,1,2,2,-91,2,1,1,5,18,-91,1,2,2,1,1,-91,-91,1,4,4,2,-91,15,-91,0,0,1,7,1,2,296.67
75000,127998.4,1,1,1,2,1,2,1,2,8,1,1,1,1,0,1,2,0,0,3,3,0,1,1,1,3,2,1,2,3,42,2,2,1,3,1,2,2,2,13,-91,1,2,2,1,2,1,2,9,4,4,2,-91,10,-91,-1,1,1,2,4,3,349.62
73000,88000,1,1,2,1,1,2,1,7,2,1,1,1,1,0,1,1,0,0,2,2,0,1,1,1,3,2,1,2,3,34,8,2,4,-97,-97,-97,-97,5,16,-91,2,1,2,1,1,-91,-91,1,4,4,2,-91,16,-91,-1,5,1,2,1,2,376.1
72820.8,72820.8,3,1,2,2,1,2,1,7,1,1,3,6,1,0,2,1,1,0,2,4,0,3,1,2,5,2,1,2,3,28,11,-1,4,5,1,2,2,5,9,-91,1,2,2,1,2,2,2,9,4,4,2,-91,14,-91,-1,0,2,4,11,1,376
72000,72000,1,1,2,2,1,2,1,20,2,1,3,6,1,0,2,1,1,1,2,4,0,2,8,1,4,2,2,2,3,41,6,1,4,-91,2,2,1,5,18,-91,2,1,2,2,2,2,2,9,4,4,2,-91,10,-91,1,2,2,5,3,1,285.23
72000,72000,1,1,2,0,1,2,1,20,-98,-98,1,1,-98,0,0,1,0,0,5,1,1,1,4,1,5,2,2,2,3,37,2,2,2,-91,2,2,2,5,13,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,8,-91,1,0,1,5,1,1,224.69
70000,70000,1,1,2,0,1,2,1,2,-99,-99,1,1,-99,0,0,1,0,1,3,1,0,-99,1,1,4,2,1,1,3,40,3,2,3,2,1,2,2,5,15,-91,2,1,2,1,2,2,2,9,4,4,2,-91,16,-91,1,2,1,4,1,2,349.87
70000,70000,1,1,2,0,1,2,1,1,-98,-98,1,1,-98,0,0,1,0,0,5,1,1,1,1,2,5,2,2,1,3,40,1,2,1,5,2,2,2,5,14,-91,2,2,2,2,1,-91,-91,1,4,4,2,-91,14,-91,1,2,1,5,2,3,239.27
67500,100680,11,1,1,0,1,1,1,1,2,3,1,1,7,0,0,1,0,1,2,1,0,2,1,1,5,2,1,1,1,37,0,2,1,3,2,2,2,5,16,-91,2,1,2,2,2,1,2,9,4,4,2,-91,17,-91,0,1,1,1,1,3,291.55
67000,131750,1,1,2,1,1,2,1,7,1,1,1,1,1,0,1,2,0,1,2,3,0,1,2,1,5,2,-1,1,3,29,4,2,3,2,1,2,2,5,16,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,13,-91,1,1,1,7,1,1,324.31
66580.8,66580.8,1,1,2,0,1,2,1,20,9,1,3,6,1,0,0,1,0,0,2,1,0,2,1,2,5,2,1,2,3,20,1,2,2,2,1,2,2,5,15,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,17,-91,1,0,1,5,1,2,367.61
66205,66205,1,1,1,1,1,2,1,-99,1,1,-99,-99,1,0,0,2,0,0,2,2,0,1,1,1,2,-92,1,2,3,35,0,2,1,-97,-97,-97,-97,5,3,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,13,-91,-1,1,1,4,5,2,373.7
65000,65000,3,1,2,0,1,2,1,1,2,3,1,1,3,0,0,1,1,1,2,2,0,1,1,2,5,-1,1,1,1,30,2,2,1,2,1,2,2,5,13,-91,1,2,2,1,2,2,2,9,4,4,2,-91,10,-91,-1,0,1,2,1,2,302.62
65000,-92,1,1,2,0,1,1,1,20,1,1,1,1,1,0,0,1,0,0,2,1,0,2,5,1,5,2,2,2,3,47,0,-1,1,-91,2,2,2,5,13,-91,2,2,2,1,1,-91,-91,1,4,4,2,-91,10,-91,1,0,1,1,6,1,323.07
64992,-1,1,1,2,0,1,2,1,6,7,1,2,2,1,0,0,1,1,1,2,2,0,1,1,1,4,2,2,2,3,41,2,2,2,5,2,2,2,5,17,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,12,-91,-1,0,1,4,1,1,360.6
64000,77713.44,1,1,2,1,1,2,1,1,1,1,2,2,1,0,1,1,0,0,2,2,0,1,1,1,2,2,1,1,3,30,6,2,4,3,1,2,2,5,16,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,18,-91,1,4,1,5,1,1,413.66
63600,132000,1,1,2,0,1,2,1,1,1,1,1,1,1,0,0,1,0,0,2,1,0,1,1,1,0,1,-1,1,3,21,7,2,4,3,2,2,2,5,7,-91,2,2,2,2,2,1,2,7,4,4,2,-91,11,-91,-1,9,1,1,4,4,377.93
60144,79164,1,1,2,0,1,2,1,2,2,1,2,2,1,0,0,1,1,0,2,2,0,-94,1,1,4,2,1,1,3,40,3,2,2,3,2,2,2,5,15,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,11,-91,1,0,1,4,1,2,434.99
60000,65200,1,1,2,0,1,2,1,16,15,1,2,2,1,0,0,1,1,0,2,2,0,2,1,3,3,2,1,2,3,20,6,2,3,2,2,2,2,5,11,-91,1,1,2,1,2,1,2,6,2,4,2,-91,13,-91,-1,0,1,7,1,1,274.93
60000,60000,1,1,2,0,1,2,1,15,4,1,3,3,1,0,0,1,1,0,2,2,0,2,2,1,3,2,1,1,3,41,4,2,3,5,2,2,2,5,15,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,12,-91,0,0,1,4,1,3,310.94
60000,-92,3,1,2,0,1,2,1,7,15,1,1,1,1,0,0,1,1,1,2,2,0,1,1,1,4,2,2,1,2,42,0,2,2,3,2,2,2,5,17,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,15,-91,1,0,1,2,1,1,392.44
60000,87300,1,1,1,0,1,2,1,7,2,1,1,1,1,0,0,1,1,0,2,2,0,1,1,2,3,2,2,1,3,26,0,2,1,3,2,2,2,5,11,-91,2,1,2,2,2,1,2,3,4,1,2,-91,16,-91,1,2,1,4,1,1,323.66
60000,61547,1,1,2,-995,1,2,1,15,15,1,2,2,1,0,1,1,0,0,2,2,0,1,1,2,4,2,1,2,-94,39,1,2,1,2,2,2,2,5,11,-91,2,1,2,1,1,-91,-91,9,4,4,2,-91,15,-91,1,1,1,7,1,1,341.82
60000,60000,1,2,2,1,1,2,1,5,2,1,3,6,1,0,1,1,1,0,2,3,0,1,4,2,4,2,2,1,3,41,1,2,2,-91,2,2,2,5,16,-91,2,1,2,2,1,-91,-91,9,4,4,2,-91,14,-91,1,0,1,5,1,1,298.56
60000,83712,3,1,2,9,1,2,1,6,2,1,1,1,1,0,0,1,0,0,2,1,0,1,1,1,4,2,1,2,3,29,0,2,1,2,2,2,2,5,14,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,16,-91,1,0,1,4,3,1,371.42
60000,-99,1,1,2,1,1,2,1,-99,2,1,2,2,1,0,1,1,1,0,2,3,0,2,1,1,5,2,1,2,3,39,2,2,2,3,1,2,2,5,18,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,14,-91,1,0,1,4,1,2,360.5
60000,-99,1,1,2,0,1,2,1,15,-99,1,1,1,1,0,0,1,1,0,2,2,0,1,1,1,3,2,1,2,1,35,4,2,1,2,2,2,2,5,15,-91,1,1,2,1,2,2,2,9,4,4,2,-91,19,-91,1,2,1,3,1,2,408.58
60000,68450,1,1,2,-995,1,2,1,9,7,1,2,2,1,0,0,2,0,0,2,2,0,2,4,1,5,2,2,1,-94,39,0,1,2,-91,2,2,1,5,15,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,11,-91,1,7,1,4,1,2,237.3
57600,92600,1,1,2,1,1,2,1,2,1,1,1,1,1,0,1,1,0,0,2,2,0,2,4,2,4,2,2,2,3,37,2,2,2,-91,2,2,2,5,16,-91,2,1,2,2,2,1,2,3,4,1,2,-91,15,-91,1,0,1,4,1,1,254.62
56178.72,89893.44,1,1,2,1,1,2,2,2,5,1,1,1,1,0,0,2,0,0,2,2,0,1,6,1,5,2,2,1,3,40,0,1,1,6,2,2,2,5,18,-91,1,2,2,1,1,-91,-91,1,4,4,2,-91,14,-91,1,0,1,5,1,2,268.18
56160,105660,1,1,2,2,1,-1,1,2,2,1,1,1,1,1,1,1,0,0,2,3,0,1,3,1,2,2,2,1,2,35,5,2,4,2,2,2,2,5,15,-91,2,1,2,2,2,1,2,3,4,1,2,-91,21,-91,1,1,1,5,5,1,254.74
56000,56000,1,1,2,0,1,2,1,-98,8,1,-98,-98,1,0,0,1,0,0,-98,1,1,2,1,1,2,2,1,2,3,34,1,2,1,3,2,2,2,5,16,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,12,-91,-1,0,2,2,1,1,336.45
56000,64637.2,3,1,2,2,1,2,1,15,14,1,2,2,1,0,2,1,0,0,2,3,0,4,1,1,1,2,1,1,3,37,4,2,3,3,1,1,2,5,13,-91,1,1,2,1,2,1,2,9,4,4,2,-91,15,-91,1,1,2,2,1,1,408.63
55347.76,-1,1,1,2,0,1,2,1,1,20,2,1,1,2,0,0,1,0,0,2,1,0,2,6,2,3,1,1,2,3,30,5,1,3,3,2,2,2,2,5,-91,2,1,2,2,2,1,2,9,4,4,2,-91,12,-91,0,10,1,5,5,4,295.41
55000,55000,1,1,2,1,1,2,1,2,1,1,3,8,1,0,0,2,0,0,2,2,0,2,1,1,0,2,2,1,3,40,0,2,1,6,1,2,2,5,19,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,10,-91,-1,0,1,4,2,1,382.06
55000,155000,3,1,2,1,1,2,1,2,2,1,1,1,1,0,0,2,0,0,2,2,0,4,1,1,3,-1,2,-1,3,23,0,2,1,2,2,2,2,5,10,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,11,-91,1,0,1,7,4,2,343.62
